1.,1.000,16-0,1915
2.,.949,37-2,2005
3.,.944,17-1,1943
4.,.861,31-5,1989
5.,.846,22-4,1952
6.,.840,21-4,1949
7.,.839,26-5,1984
8.,.818,18-4,1956
,.818,18-4,1953
10.,.815,22-5,1951
