Player,Hometown,High School,Class,Position,Seasons,seasons_played,lat,lon,state,country,is_illinois,is_us,is_international,has_geocode
Matt Meyer,"Manito, Ill.",Foreman,,G,"['1976-77', '1977-78', '1978-79']",3,40.4258736,-89.7792762,IL,United States,True,True,False,True
Steve Lanter,"Belleville, Ill.",Mascoutah,,G,"['1976-77', '1977-78', '1978-79']",3,38.5135805,-89.9841627,IL,United States,True,True,False,True
Kevin Westervelt,"Peoria, Ill.",Richwoods,,G,"['1978-79', '1979-80']",2,40.6938609,-89.5891008,IL,United States,True,True,False,True
Levi Cobb,"Chicago, Ill.",Morgan Park,,F,"['1976-77', '1977-78', '1978-79', '1979-80']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Neil Bresnahan,"Oak Park, Ill.",Fenwick,,F,"['1976-77', '1977-78', '1978-79', '1979-80']",4,41.8878145,-87.7887615,IL,United States,True,True,False,True
Reno Gray,"Chicago, Ill.",Hales Franciscan,,G,"['1977-78', '1979-80']",2,41.8755616,-87.6244212,IL,United States,True,True,False,True
Rob Judson,"Zion, Ill.",Zion-Benton,,G,"['1976-77', '1977-78', '1978-79', '1979-80']",4,42.4501169,-87.8337753,IL,United States,True,True,False,True
Derek Holcomb,"Peoria, Ill.",Richwoods,,C,"['1978-79', '1979-80', '1980-81']",3,40.6938609,-89.5891008,IL,United States,True,True,False,True
Eddie Johnson,"Chicago, Ill.",Westinghouse,,F,"['1977-78', '1978-79', '1979-80', '1980-81']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Mitch Arnold,"Effingham, Ill.",Effingham,,G/F,['1980-81'],1,39.0520902,-88.6029006,IL,United States,True,True,False,True
Sherrod Arnold,"Chicago, Ill.",Phillips,,G,['1980-81'],1,41.8755616,-87.6244212,IL,United States,True,True,False,True
Craig Tucker,"Flint, Mich.",Northern,,G,"['1980-81', '1981-82']",2,43.0161693,-83.6900211,MI,United States,False,True,False,True
Dan Klier,"Naperville, Ill.",Central,,F,['1981-82'],1,41.7728699,-88.1479278,IL,United States,True,True,False,True
