Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Brandon Paul,32,30,1070,33.4,145,370,.392,54,162,.333,125,172,.727,469,14.7,30,121,151,4.7,84,94,109,46,27
Meyers Leonard,32,30,1018,31.8,170,291,.584,1,11,.091,93,127,.732,434,13.6,73,189,262,8.2,94,43,68,15,60
D.J. Richardson,32,31,1106,34.6,130,336,.387,71,204,.348,41,53,.774,372,11.6,28,68,96,3.0,39,55,44,27,5
Joseph Bertrand,32,14,644,20.1,92,171,.538,3,10,.300,22,30,.733,209,6.5,23,63,86,2.7,62,43,37,11,5
Sam Maniscalco,28,13,677,24.2,56,151,.371,27,96,.281,32,39,.821,171,6.1,7,46,53,1.9,37,64,27,15,0
Tyler Griffey,30,20,496,16.5,59,137,.431,16,56,.286,12,16,.750,146,4.9,44,56,100,3.3,52,18,26,13,11
Tracy Abrams,32,19,674,21.1,49,120,.408,9,35,.257,29,46,.630,136,4.3,22,50,72,2.3,72,60,50,14,0
Myke Henry,22,0,179,8.1,28,62,.452,4,25,.160,10,15,.667,70,3.2,11,14,25,1.1,23,2,9,7,3
Nnanna Egwu,32,3,313,9.8,27,57,.474,0,0,.000,6,13,.462,60,1.9,21,27,48,1.5,61,6,22,6,20
Crandall Head,9,0,83,9.2,4,17,.235,0,5,.000,1,1,1.000,9,1.0,1,4,5,0.6,9,9,9,5,0
Mike Shaw,20,0,139,7.0,6,21,.286,1,6,.167,4,10,.400,17,0.9,11,26,37,1.9,17,5,13,2,1
Ibby Djimde,17,0,61,3.6,1,6,.167,0,0,.000,3,7,.429,5,0.3,2,12,14,0.8,12,0,6,1,0
Kevin Berardini,7,0,6,0.9,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,2,0,0,0,0
Jean Selus,9,0,9,1.0,0,2,.000,0,1,.000,0,0,.000,0,0.0,0,1,1,0.1,1,1,0,0,0
TeamTMTeam,32,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,47,48,95,3.0,0,0,10,0,0
