Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Terrence Shannon Jr.,31,30,991,32.0,159,360,.442,50,156,.321,166,210,.790,534,17.2,38,106,144,4.6,73,87,80,39,15
Matthew Mayer,33,33,875,26.5,133,327,.407,67,203,.330,80,108,.741,413,12.5,32,144,176,5.3,79,37,46,26,41
Coleman Hawkins,33,33,1072,32.5,123,279,.441,37,132,.280,43,70,.614,326,9.9,64,143,207,6.3,61,100,81,36,39
Dain Dainja,33,21,681,20.6,131,206,.636,0,0,.000,53,101,.525,315,9.5,67,116,183,5.5,64,17,50,25,39
Jayden Epps,31,11,760,24.5,111,268,.414,37,123,.301,35,45,.778,294,9.5,7,50,57,1.8,48,46,40,19,6
Skyy Clark,13,12,317,24.4,30,73,.411,15,45,.333,16,23,.696,91,7.0,6,42,48,3.7,36,27,27,7,2
RJ Melendez,32,18,692,21.6,64,170,.376,24,91,.264,40,48,.833,192,6.0,31,81,112,3.5,55,28,30,22,14
Luke Goode,10,0,138,13.8,15,31,.484,8,19,.421,2,2,1.000,40,4.0,4,12,16,1.6,17,4,2,5,4
Sencire Harris,33,7,479,14.5,52,121,.430,13,41,.317,4,20,.200,121,3.7,19,49,68,2.1,51,29,21,27,11
Ty Rodgers,33,0,572,17.3,48,93,.516,0,1,.000,12,31,.387,108,3.3,54,79,133,4.0,58,32,27,22,7
Brandon Lieb,16,0,59,3.7,7,12,.583,0,0,.000,1,5,.200,15,0.9,5,12,17,1.1,14,2,5,0,7
Connor Serven,5,0,20,4.0,0,1,.000,0,1,.000,1,2,.500,1,0.2,1,3,4,0.8,2,0,2,1,0
Paxton Warden,10,0,15,1.5,1,4,.250,0,3,.000,0,0,.000,2,0.2,0,0,0,0.0,0,0,2,0,1
Zacharie Perrin,1,0,2,2.0,0,0,.000,0,0,.000,0,2,.000,0,0.0,0,0,0,0.0,1,0,0,0,0
AJ Redd,2,0,2,1.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
TeamTMTeam,33,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,38,45,83,2.5,0,0,13,0,0
