Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Eddie Johnson,35,35,1207,34.5,266,575,.463,0,0,.000,78,119,.655,610,17.4,0,310,310,8.9,95,71,64,13,7
Mark Smith,35,31,1023,29.2,187,339,.552,0,0,.000,161,197,.817,535,15.3,0,214,214,6.1,118,95,85,35,11
Reno Gray,35,32,869,24.8,131,298,.440,0,0,.000,57,72,.792,319,9.1,0,47,47,1.3,65,109,73,36,2
James Griffin,35,28,674,19.3,119,259,.459,0,0,.000,36,58,.621,274,7.8,0,154,154,4.4,98,25,39,18,37
Perry Range,35,13,808,23.1,90,178,.506,0,0,.000,63,82,.768,243,6.9,0,85,85,2.4,62,64,63,36,2
Derek Holcomb,31,7,632,20.4,72,146,.493,0,0,.000,36,63,.571,180,5.8,0,164,164,5.3,97,44,27,15,46
Rob Judson,31,17,594,19.2,59,118,.500,0,0,.000,32,36,.889,150,4.8,0,44,44,1.4,32,47,29,15,0
Neil Bresnahan,35,5,599,17.1,67,136,.493,0,0,.000,27,37,.730,161,4.6,0,121,121,3.5,85,64,50,14,11
Kevin Bontemps,30,7,364,12.1,15,36,.417,0,0,.000,26,46,.565,56,1.9,0,28,28,0.9,22,62,45,16,1
Levi Cobb,25,0,146,5.8,20,49,.408,0,0,.000,7,13,.538,47,1.9,0,36,36,1.4,12,14,13,10,2
Quinn Richardson,16,0,101,6.3,8,13,.615,0,0,.000,7,9,.778,23,1.4,0,9,9,0.6,14,17,10,4,0
Kevin Westervelt,18,0,35,1.9,6,12,.500,0,0,.000,4,7,.571,16,0.9,0,8,8,0.4,4,1,0,1,0
TeamTMTeam,35,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,124,124,3.5,0,0,7,0,0
