Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Ayo Dosunmu,30,30,1006,33.5,196,405,.484,29,98,.296,77,102,.755,498,16.6,18,112,130,4.3,50,100,81,25,6
Kofi Cockburn,31,31,851,27.5,151,284,.532,0,1,.000,111,164,.677,413,13.3,107,165,272,8.8,81,20,59,17,44
Andres Feliz,31,15,828,26.7,122,265,.460,17,62,.274,80,104,.769,341,11.0,30,125,155,5.0,54,90,44,23,1
Trent Frazier,31,30,946,30.5,86,263,.327,51,165,.309,58,68,.853,281,9.1,7,62,69,2.2,77,60,28,29,0
Alan Griffin,28,1,503,18.0,86,178,.483,47,113,.416,31,36,.861,250,8.9,50,77,127,4.5,32,18,22,13,6
Giorgi Bezhanishvili,31,24,719,23.2,84,196,.429,11,36,.306,31,52,.596,210,6.8,56,92,148,4.8,75,49,57,3,13
Kipper Nichols,31,1,427,13.8,41,107,.383,2,19,.105,21,30,.700,105,3.4,29,32,61,2.0,53,19,29,15,1
Da'Monte Williams,31,22,671,21.6,26,75,.347,13,46,.283,21,30,.700,86,2.8,16,97,113,3.6,42,41,22,21,11
Benjamin Bosmans-Verdonk,9,0,58,6.4,4,11,.364,0,2,.000,3,4,.750,11,1.2,6,4,10,1.1,6,6,5,3,2
Jermaine Hamlin,16,0,65,4.1,6,8,.750,0,0,.000,3,6,.500,15,0.9,8,5,13,0.8,10,1,5,2,2
Tevian Jones,13,0,68,5.2,4,24,.167,3,16,.188,1,2,.500,12,0.9,4,6,10,0.8,13,1,4,0,2
Zach Griffith,8,0,19,2.4,2,3,.667,0,0,.000,2,4,.500,6,0.8,2,2,4,0.5,0,1,0,0,0
Tyler Underwood,15,1,48,3.2,2,9,.222,2,6,.333,3,5,.600,9,0.6,0,3,3,0.2,4,5,1,0,0
Samson Oladimeji,8,0,16,2.0,1,3,.333,0,2,.000,0,0,.000,2,0.3,1,2,3,0.4,0,0,0,0,1
TeamTMTeam,31,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,59,47,106,3.4,0,0,18,0,0
