Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Kiwane Garris,25,22,786,31.4,118,316,.373,38,117,.325,112,130,.862,386,15.4,17,69,86,3.4,47,98,36,42,0
Jerry Hester,28,23,763,27.3,112,246,.455,38,98,.388,46,65,.708,308,11.0,48,63,111,4.0,58,35,38,16,9
Bryant Notree,31,19,764,24.6,122,238,.513,17,47,.362,66,118,.559,327,10.5,81,109,190,6.1,81,30,46,32,5
Richard Keene,31,31,928,29.9,107,288,.372,69,186,.371,34,42,.810,317,10.2,9,107,116,3.7,71,162,68,40,8
Jarrod Gee,31,27,785,25.3,115,226,.509,0,0,.000,35,76,.461,265,8.5,86,104,190,6.1,101,16,40,17,32
Chris Gandy,31,20,574,18.5,76,162,.469,4,14,.286,33,49,.673,189,6.1,54,72,126,4.1,74,14,22,14,17
Matt Heldman,31,11,455,14.7,53,127,.417,30,77,.390,39,44,.886,175,5.6,11,18,29,0.9,41,43,27,11,1
Kevin Turner,31,2,484,15.6,65,180,.361,25,89,.281,15,33,.455,170,5.5,15,35,50,1.6,42,54,25,17,3
Ryan Blackwell,30,0,379,12.6,39,106,.368,6,19,.316,34,45,.756,118,3.9,32,54,86,2.9,36,23,18,9,5
Brett Robisch,14,0,143,10.2,17,33,.515,3,7,.429,3,5,.600,40,2.9,9,13,22,1.6,31,6,7,2,1
Scott Brunson,1,0,1,1.0,1,1,1.000,0,0,.000,0,0,.000,2,2.0,0,0,0,0.0,0,0,0,0,0
"Andy03Leone, Andy Leone",1,0,1,1.0,1,1,1.000,0,0,.000,0,0,.000,2,2.0,1,0,1,1.0,0,0,0,0,0
Brian Johnson,20,0,116,5.8,13,26,.500,0,2,.000,3,4,.750,29,1.5,14,9,23,1.2,19,17,9,3,1
Tom Barich,2,0,2,1.0,0,1,.000,0,1,.000,2,2,1.000,2,1.0,0,0,0,0.0,0,0,0,0,0
John Steele,3,0,4,1.3,1,1,1.000,1,1,1.000,0,0,.000,3,1.0,1,0,1,0.3,0,0,0,0,0
Herb Caldwell,14,0,29,2.1,3,6,.500,0,0,.000,7,10,.700,13,0.9,4,5,9,0.6,6,1,3,1,1
Dean Hill,3,0,3,1.0,0,0,.000,0,0,.000,2,2,1.000,2,0.7,0,0,0,0.0,1,0,0,0,0
Larry Christian,7,0,14,2.0,0,3,.000,0,2,.000,2,4,.500,2,0.3,2,2,4,0.6,1,0,4,0,0
Jeff Lindenmeyer,8,0,15,1.9,1,5,.200,0,1,.000,0,0,.000,2,0.3,1,3,4,0.5,1,0,1,1,0
Brian Begley,2,0,3,1.5,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,1,0,0,0,0
"Edward51Cisowski, Edward Cisowski",1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,2,2,2.0,0,0,0,0,0
Joe Lambert,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Karl Schulz,2,0,2,1.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,1,0,1,0.5,0,0,0,0,0
TeamTMTeam,30,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,45,51,96,3.2,0,0,8,0,0
Travis Wilson,2,0,3,1.5,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,1,1,0.5,1,1,1,2,0
