Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Frank Williams,34,34,1095,32.2,168,409,.411,39,122,.320,133,165,.806,508,14.9,25,102,127,3.7,71,148,88,67,9
Marcus Griffin,34,33,839,24.7,154,289,.533,0,1,.000,77,130,.592,385,11.3,87,116,203,6.0,105,34,74,29,44
Brian Cook,35,35,846,24.2,147,269,.546,28,76,.368,69,86,.802,391,11.2,72,140,212,6.1,118,43,66,21,45
Cory Bradford,35,35,1043,29.8,113,298,.379,72,194,.371,47,59,.797,345,9.9,24,62,86,2.5,60,63,67,23,3
Sergio McClain,35,33,893,25.5,87,217,.401,18,48,.375,69,125,.552,261,7.5,62,132,194,5.5,98,102,73,46,7
Robert Archibald,34,2,514,15.1,77,131,.588,0,0,.000,90,122,.738,244,7.2,63,92,155,4.6,114,22,48,12,26
Sean Harrington,35,1,615,17.6,61,147,.415,51,111,.459,27,39,.692,200,5.7,2,47,49,1.4,45,41,19,27,1
Lucas Johnson,35,2,608,17.4,48,104,.462,18,52,.346,62,83,.747,176,5.0,39,77,116,3.3,78,59,38,20,5
Damir Krupalija,27,0,280,10.4,43,72,.597,7,15,.467,36,53,.679,129,4.8,34,71,105,3.9,43,18,24,16,4
Brett Melton,28,0,160,5.7,15,59,.254,8,40,.200,5,8,.625,43,1.5,10,13,23,0.8,13,7,10,3,1
Joe Cross,17,0,42,2.5,7,21,.333,2,11,.182,2,2,1.000,18,1.1,3,9,12,0.7,8,1,1,4,0
Nate Mast,20,0,59,3.0,5,14,.357,4,7,.571,1,4,.250,15,0.8,4,8,12,0.6,7,2,4,1,0
Jerrance Howard,22,0,85,3.9,4,15,.267,0,1,.000,2,4,.500,10,0.5,2,7,9,0.4,12,10,7,0,1
TeamTMTeam,35,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,51,45,96,2.7,0,0,5,0,0
