Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Eddie Johnson,29,29,1009,34.8,219,443,.494,0,0,.000,62,82,.756,500,17.2,0,267,267,9.2,86,70,53,29,6
Mark Smith,29,29,913,31.5,150,272,.551,0,0,.000,102,125,.816,402,13.9,0,172,172,5.9,94,98,77,36,18
Craig Tucker,29,7,614,21.2,117,229,.511,0,0,.000,76,94,.809,310,10.7,0,39,39,1.3,62,58,57,19,3
Perry Range,29,23,816,28.1,101,178,.567,0,0,.000,65,89,.730,267,9.2,0,115,115,4.0,49,70,42,33,0
Derek Harper,29,27,934,32.2,104,252,.413,0,0,.000,33,46,.717,241,8.3,0,75,75,2.6,50,156,66,39,8
James Griffin,29,10,518,17.9,103,193,.534,0,0,.000,21,36,.583,227,7.8,0,122,122,4.2,85,12,23,5,34
Derek Holcomb,29,20,636,21.9,70,123,.569,0,0,.000,31,50,.620,171,5.9,0,148,148,5.1,83,40,34,14,42
Bryan Leonard,25,0,200,8.0,26,50,.520,0,0,.000,7,13,.538,59,2.4,0,44,44,1.8,32,12,17,3,8
Sherrod Arnold,7,0,44,6.3,4,10,.400,0,0,.000,6,10,.600,14,2.0,0,10,10,1.4,5,5,4,1,0
Kevin Bontemps,19,0,78,4.1,12,26,.462,0,0,.000,12,20,.600,36,1.9,0,7,7,0.4,6,17,11,2,1
Quinn Richardson,22,0,61,2.8,9,16,.563,0,0,.000,7,11,.636,25,1.1,0,9,9,0.4,5,7,9,5,0
Mitch Arnold,3,0,27,9.0,1,7,.143,0,0,.000,0,1,.000,2,0.7,0,5,5,1.7,2,2,1,0,0
TeamTMTeam,29,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,107,107,3.7,0,0,3,0,0
