Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Brandon Paul,36,35,1153,32.0,184,459,.401,78,240,.325,152,206,.738,598,16.6,22,135,157,4.4,86,98,96,44,23
D.J. Richardson,36,36,1218,33.8,142,391,.363,83,258,.322,75,92,.815,442,12.3,25,114,139,3.9,71,58,50,48,6
Tracy Abrams,36,32,1032,28.7,132,335,.394,31,114,.272,86,115,.748,381,10.6,29,98,127,3.5,83,121,94,50,4
Joseph Bertrand,35,5,795,22.7,102,203,.502,17,53,.321,34,44,.773,255,7.3,47,95,142,4.1,80,20,39,32,6
Tyler Griffey,36,21,786,21.8,96,221,.434,43,124,.347,24,35,.686,259,7.2,43,82,125,3.5,73,20,27,20,20
Nnanna Egwu,36,35,913,25.4,103,224,.460,1,6,.167,28,44,.636,235,6.5,78,97,175,4.9,110,19,37,23,49
Sam McLaurin,36,16,744,20.7,48,108,.444,1,2,.500,38,65,.585,135,3.8,80,43,123,3.4,81,16,30,11,24
Myke Henry,35,0,371,10.6,38,110,.345,19,60,.317,17,24,.708,112,3.2,33,41,74,2.1,39,5,23,13,7
Mike LaTulip,16,0,38,2.4,4,11,.364,3,9,.333,8,8,1.000,19,1.2,0,2,2,0.1,3,0,1,0,0
Mike Shaw,14,0,50,3.6,4,9,.444,3,6,.500,1,2,.500,12,0.9,3,8,11,0.8,10,2,2,2,0
Kevin Berardini,10,0,12,1.2,0,0,.000,0,0,.000,5,6,.833,5,0.5,0,2,2,0.2,4,2,1,0,0
Devin Langford,22,0,94,4.3,4,11,.364,1,1,1.000,1,5,.200,10,0.5,9,9,18,0.8,6,4,1,2,3
Ibby Djimde,11,0,19,1.7,1,2,.500,0,0,.000,0,0,.000,2,0.2,1,2,3,0.3,2,0,0,0,0
TeamTMTeam,36,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,57,60,117,3.3,0,0,10,0,0
