Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Kevin Turner,33,33,1094,33.2,215,512,.420,78,212,.368,76,106,.717,584,17.7,15,90,105,3.2,58,91,92,44,2
Jerry Hester,33,32,1042,31.6,186,395,.471,40,114,.351,74,96,.771,486,14.7,62,113,175,5.3,69,49,55,28,8
Matt Heldman,33,33,1204,36.5,97,238,.408,67,165,.406,98,114,.860,359,10.9,10,87,97,2.9,66,131,81,42,0
Jarrod Gee,33,32,798,24.2,115,220,.523,0,0,.000,49,77,.636,279,8.5,65,110,175,5.3,102,23,40,32,29
Brian Johnson,33,33,921,27.9,83,141,.589,0,0,.000,66,95,.695,232,7.0,53,94,147,4.5,87,78,53,29,17
Jeff Reichardt,1,0,2,2.0,2,3,.667,2,3,.667,0,0,.000,6,6.0,0,0,0,0.0,0,0,1,0,0
Sergio McClain,33,1,545,16.5,42,124,.339,4,24,.167,28,64,.438,116,3.5,36,67,103,3.1,84,54,52,40,9
Arias Davis,28,0,202,7.2,31,85,.365,24,71,.338,3,9,.333,89,3.2,6,14,20,0.7,19,10,12,6,0
Victor Chukwudebe,33,0,433,13.1,25,68,.368,0,1,.000,16,23,.696,66,2.0,45,65,110,3.3,71,8,17,13,18
Awvee Storey,27,0,152,5.6,24,57,.421,0,1,.000,6,16,.375,54,2.0,9,23,32,1.2,27,6,10,5,5
"Dave11Wilkinson, Dave Wilkinson",1,0,0,0.0,0,0,.000,0,0,.000,1,2,.500,1,1.0,0,0,0,0.0,0,0,0,0,0
Rich Beyers,22,0,82,3.7,4,14,.286,0,0,.000,6,12,.500,14,0.6,6,12,18,0.8,13,3,5,0,1
David Freeman,19,0,24,1.3,3,5,.600,0,1,.000,1,4,.250,7,0.4,2,3,5,0.3,4,0,2,1,0
Jelani Boline,28,1,131,4.7,0,6,.000,0,1,.000,8,16,.500,8,0.3,2,8,10,0.4,16,16,14,3,0
"Brian43Campbell, Brian Campbell",1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,1,1,1.0,1,0,0,0,0
"Dave50Gallagher, Dave Gallagher",1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,1,0
"Nate05Mast, Nate Mast",1,0,2,2.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,1,0,0
TeamTMTeam,33,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,55,56,111,3.4,0,0,9,0,0
Luke Williams,1,0,1,1.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
