Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Demetri McCamey,34,32,1040,30.6,140,341,.411,56,179,.313,55,72,.764,391,11.5,11,79,90,2.6,50,156,83,32,7
Mike Davis,34,34,1045,30.7,171,321,.533,0,0,.000,41,60,.683,383,11.3,60,215,275,8.1,71,67,51,23,22
Trent Meacham,34,34,1046,30.8,114,270,.422,69,164,.421,49,58,.845,346,10.2,8,76,84,2.5,76,92,36,31,4
Mike Tisdale,34,34,841,24.7,147,277,.531,1,5,.200,51,64,.797,346,10.2,44,91,135,4.0,103,19,47,11,48
Dominique Keller,34,0,428,12.6,86,165,.521,9,22,.409,21,32,.656,202,5.9,29,50,79,2.3,54,7,30,10,18
Chester Frazier,31,31,1029,33.2,60,134,.448,26,68,.382,32,48,.667,178,5.7,41,107,148,4.8,39,164,68,43,9
Calvin Brock,34,5,593,17.4,73,164,.445,7,23,.304,27,43,.628,180,5.3,43,66,109,3.2,57,31,37,24,6
Alex Legion,22,0,244,11.1,28,97,.289,12,50,.240,9,12,.750,77,3.5,9,23,32,1.5,17,11,18,8,1
Bill Cole,17,0,76,4.5,9,25,.360,6,16,.375,3,9,.333,27,1.6,5,8,13,0.8,15,4,2,1,3
Richard Semrau,21,0,190,9.0,13,28,.464,0,0,.000,3,7,.429,29,1.4,10,22,32,1.5,27,6,15,5,2
Jeff Jordan,33,0,278,8.4,14,32,.438,1,3,.333,3,8,.375,32,1.0,3,9,12,0.4,8,33,13,6,1
C.J. Jackson,13,0,22,1.7,3,3,1.000,0,0,.000,3,4,.750,9,0.7,4,2,6,0.5,4,1,5,2,1
Bubba Chisholm,14,0,18,1.3,1,8,.125,1,7,.143,1,2,.500,4,0.3,0,1,1,0.1,0,4,1,3,0
TeamTMTeam,34,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,53,58,111,3.3,0,0,14,0,0
