Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Deon Thomas,28,27,822,29.4,207,327,.633,1,2,.500,133,192,.693,548,19.6,84,110,194,6.9,67,43,54,23,37
Kiwane Garris,28,27,891,31.8,133,307,.433,29,87,.333,151,188,.803,446,15.9,23,75,98,3.5,59,107,78,33,1
T.J. Wheeler,26,26,783,30.1,99,213,.465,30,88,.341,61,75,.813,289,11.1,32,87,119,4.6,57,97,42,22,3
Shelly Clark,26,22,581,22.3,97,192,.505,0,0,.000,56,88,.636,250,9.6,80,86,166,6.4,84,33,46,15,6
Jerry Hester,28,2,622,22.2,87,214,.407,21,65,.323,32,44,.727,227,8.1,49,62,111,4.0,40,43,30,19,6
Richard Keene,28,27,809,28.9,81,213,.380,48,113,.425,14,22,.636,224,8.0,14,83,97,3.5,73,113,49,30,4
Robert Bennett,28,5,530,18.9,49,96,.510,0,0,.000,43,65,.662,141,5.0,37,66,103,3.7,64,10,26,16,6
Tom Michael,26,2,327,12.6,41,98,.418,30,71,.423,11,14,.786,123,4.7,14,31,45,1.7,35,21,16,4,4
Chris Gandy,19,2,169,8.9,24,43,.558,1,1,1.000,13,23,.565,62,3.3,19,17,36,1.9,24,5,13,3,8
Steve Roth,16,0,69,4.3,10,18,.556,0,0,.000,5,10,.500,25,1.6,10,15,25,1.6,11,2,4,3,4
Justin Fierz,2,0,3,1.5,1,2,.500,0,1,.000,0,0,.000,2,1.0,1,0,1,0.5,0,0,1,0,0
Gene Cross,15,0,39,2.6,3,8,.375,2,5,.400,5,8,.625,13,0.9,1,2,3,0.2,7,5,4,2,0
Greg Phillips,9,0,21,2.3,1,2,.500,0,0,.000,1,3,.333,3,0.3,0,4,4,0.4,2,4,5,1,0
Brian Johnson,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,1,0,0,0,0
Mike Shannon,2,0,2,1.0,0,1,.000,0,1,.000,0,0,.000,0,0.0,0,0,0,0.0,1,0,0,0,0
"Karl50Shulz, Karl Shulz",1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
John Steele,2,0,2,1.0,0,2,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
TeamTMTeam,28,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,42,35,77,2.8,0,0,6,0,0
Brian Thiede,1,0,2,2.0,0,2,.000,0,1,.000,0,0,.000,0,0.0,1,0,1,1.0,0,0,0,0,0
Derrick Thomas,2,0,2,1.0,0,1,.000,0,1,.000,0,0,.000,0,0.0,0,1,1,0.5,0,0,0,0,0
