Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Anthony Welch,35,33,1090,31.1,182,350,.520,0,0,.000,51,68,.750,415,11.9,0,189,189,5.4,64,51,55,26,9
Doug Altenberger,35,31,1113,31.8,162,322,.503,0,0,.000,70,91,.769,394,11.3,0,126,126,3.6,62,67,42,38,14
George Montgomery,23,22,587,25.5,86,171,.503,0,0,.000,64,104,.615,236,10.3,0,168,168,7.3,68,39,53,21,6
Efrem Winters,35,33,1073,30.7,137,289,.474,0,0,.000,76,103,.738,350,10.0,0,252,252,7.2,74,49,59,33,32
Bruce Douglas,35,31,1174,33.5,118,307,.384,0,0,.000,42,57,.737,278,7.9,0,107,107,3.1,73,200,107,85,6
Ken Norman,29,6,462,15.9,86,136,.632,0,0,.000,55,83,.663,227,7.8,0,107,107,3.7,26,26,23,9,16
Scott Meents,35,10,651,18.6,84,175,.480,0,0,.000,25,37,.676,193,5.5,0,111,111,3.2,65,87,45,16,24
Tom Schafer,15,3,257,17.1,31,68,.456,0,0,.000,18,26,.692,80,5.3,0,46,46,3.1,14,17,13,5,2
Tony Wysinger,35,5,419,12.0,48,82,.585,0,0,.000,38,46,.826,134,3.8,0,32,32,0.9,47,64,36,16,1
Glynn Blackwell,10,0,65,6.5,8,24,.333,0,0,.000,9,13,.692,25,2.5,0,11,11,1.1,5,10,3,7,1
Reggie Woodward,12,0,33,2.8,12,19,.632,0,0,.000,5,9,.556,29,2.4,0,3,3,0.3,5,3,4,4,0
Scott Haffner,29,1,201,6.9,20,62,.323,0,0,.000,9,16,.563,49,1.7,0,16,16,0.6,16,17,9,2,2
TeamTMTeam,35,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,102,102,2.9,0,0,2,0,0
