Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Leron Black,31,30,789,25.5,188,344,.547,22,43,.512,76,95,.800,474,15.3,55,106,161,5.2,104,26,56,10,8
Trent Frazier,32,16,842,26.3,140,346,.405,61,176,.347,58,90,.644,399,12.5,7,49,56,1.8,68,99,71,54,1
Kipper Nichols,31,8,590,19.0,99,226,.438,31,82,.378,81,94,.862,310,10.0,44,85,129,4.2,71,23,36,25,11
Michael Finke,28,25,699,25.0,107,218,.491,29,94,.309,30,49,.612,273,9.8,52,78,130,4.6,56,30,22,9,8
Aaron Jordan,32,6,644,20.1,77,165,.467,44,95,.463,54,64,.844,252,7.9,42,57,99,3.1,63,23,30,27,7
Mark Alstork,32,32,724,22.6,56,167,.335,19,79,.241,55,72,.764,186,5.8,42,67,109,3.4,83,59,44,26,13
Mark Smith,31,19,591,19.1,60,178,.337,16,69,.232,43,54,.796,179,5.8,18,24,42,1.4,77,42,39,18,2
Te'Jon Lucas,29,19,620,21.4,64,134,.478,5,19,.263,32,52,.615,165,5.7,12,53,65,2.2,74,94,56,31,3
Da'Monte Williams,31,3,523,16.9,35,104,.337,9,40,.225,31,44,.705,110,3.5,31,58,89,2.9,43,33,28,23,4
Greg Eboigbodin,30,2,318,10.6,27,49,.551,0,0,.000,11,25,.440,65,2.2,33,40,73,2.4,63,8,16,11,11
Drew Cayce,9,0,34,3.8,0,8,.000,0,7,.000,4,6,.667,4,0.4,1,3,4,0.4,1,0,1,4,0
Matic Vesel,16,0,70,4.4,2,7,.286,0,0,.000,3,8,.375,7,0.4,1,7,8,0.5,13,5,5,0,1
Cameron Liss,8,0,16,2.0,1,2,.500,0,0,.000,0,0,.000,2,0.3,0,0,0,0.0,3,0,0,1,0
Samson Oladimeji,8,0,15,1.9,0,1,.000,0,1,.000,0,0,.000,0,0.0,1,3,4,0.5,1,0,0,1,0
TeamTMTeam,32,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,59,25,84,2.6,1,0,23,0,0
