Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Kofi Cockburn,28,28,859,30.7,226,381,.593,0,0,.000,133,203,.655,585,20.9,95,201,296,10.6,67,22,65,23,27
Alfonso Plummer,33,29,994,30.1,154,363,.424,98,240,.408,76,87,.874,482,14.6,11,70,81,2.5,52,35,43,10,0
Trent Frazier,31,30,1076,34.7,121,305,.397,63,192,.328,55,66,.833,360,11.6,17,70,87,2.8,62,126,55,41,4
Jacob Grandison,30,23,751,25.0,102,224,.455,55,134,.410,28,34,.824,287,9.6,33,82,115,3.8,52,69,37,10,5
Andre Curbelo,19,4,367,19.3,49,149,.329,6,34,.176,38,51,.745,142,7.5,11,47,58,3.1,44,60,53,14,2
Coleman Hawkins,33,14,627,19.0,68,154,.442,19,65,.292,39,60,.650,194,5.9,47,94,141,4.3,62,50,45,26,17
Da'Monte Williams,33,30,949,28.8,43,140,.307,26,80,.325,17,32,.531,129,3.9,33,131,164,5.0,57,81,30,27,11
RJ Melendez,22,1,187,8.5,29,51,.569,9,15,.600,17,20,.850,84,3.8,9,28,37,1.7,12,15,10,6,3
Austin Hutcherson,4,1,61,15.3,3,8,.375,0,4,.000,5,7,.714,11,2.8,2,6,8,2.0,4,2,6,2,1
Luke Goode,28,0,249,8.9,18,55,.327,16,43,.372,4,6,.667,56,2.0,16,33,49,1.8,24,15,9,1,4
Omar Payne,32,3,238,7.4,21,34,.618,0,0,.000,15,28,.536,57,1.8,19,34,53,1.7,58,5,18,3,24
Benjamin Bosmans-Verdonk,24,2,187,7.8,17,36,.472,0,0,.000,5,17,.294,39,1.6,25,26,51,2.1,33,15,5,7,0
Brandin Podziemski,16,0,69,4.3,8,19,.421,3,13,.231,3,4,.750,22,1.4,2,13,15,0.9,7,5,4,1,0
Brandon Lieb,10,0,24,2.4,4,5,.800,0,0,.000,0,1,.000,8,0.8,4,3,7,0.7,4,1,1,0,1
Connor Serven,6,0,12,2.0,0,1,.000,0,1,.000,0,0,.000,0,0.0,0,1,1,0.2,0,0,0,0,0
TeamTMTeam,33,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,55,53,108,3.3,0,0,27,0,0
