Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Deon Thomas,32,30,1098,34.3,225,371,.606,0,0,.000,137,212,.646,587,18.3,82,174,256,8.0,71,37,57,17,42
Andy Kaufmann,31,25,902,29.1,183,433,.423,37,106,.349,134,168,.798,537,17.3,54,74,128,4.1,69,74,112,17,1
Rennie Clemons,29,27,857,29.6,105,221,.475,6,16,.375,71,113,.628,287,9.9,14,77,91,3.1,75,121,66,42,4
Richard Keene,32,24,724,22.6,92,226,.407,57,145,.393,25,34,.735,266,8.3,9,62,71,2.2,59,73,58,25,4
T.J. Wheeler,32,12,769,24.0,85,185,.459,27,78,.346,60,69,.870,257,8.0,35,75,110,3.4,61,75,57,22,2
Robert Bennett,32,29,871,27.2,98,180,.544,0,1,.000,47,87,.540,243,7.6,84,132,216,6.8,92,16,49,17,21
Tom Michael,30,8,379,12.6,41,97,.423,26,65,.400,16,23,.696,124,4.1,23,44,67,2.2,38,19,11,3,7
Davin Harris,26,1,177,6.8,16,35,.457,2,9,.222,8,11,.727,42,1.6,6,10,16,0.6,16,17,21,9,0
Marc Davidson,30,2,306,10.2,17,39,.436,1,5,.200,10,17,.588,45,1.5,29,36,65,2.2,41,9,16,7,2
Brooks Taylor,31,2,360,11.6,12,34,.353,2,6,.333,9,16,.563,35,1.1,10,26,36,1.2,48,54,32,20,8
Steve Roth,14,0,21,1.5,2,3,.667,0,0,.000,0,0,.000,4,0.3,2,2,4,0.3,2,0,0,0,1
Gene Cross,12,0,12,1.0,1,2,.500,0,0,.000,0,0,.000,2,0.2,0,0,0,0.0,1,0,2,0,0
Matt Griswold,8,0,8,1.0,0,3,.000,0,0,.000,0,0,.000,0,0.0,2,1,3,0.4,0,0,2,0,0
Kelly O'Rourke,2,0,2,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,1,1,0.5,0,0,0,0,0
Brad Ostendorf,1,0,2,2.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Bryan Rice,9,0,9,1.0,0,2,.000,0,0,.000,0,0,.000,0,0.0,1,0,1,0.1,0,1,0,0,0
TeamTMTeam,32,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,49,41,90,2.8,0,0,2,0,0
John Vivian,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
