Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Deon Thomas,28,26,946,33.8,199,340,.585,0,0,.000,144,218,.661,542,19.4,68,125,193,6.9,42,20,75,25,44
Tom Michael,28,28,866,30.9,116,259,.448,75,152,.493,43,58,.741,350,12.5,37,93,130,4.6,68,39,43,8,10
Rennie Clemons,28,25,932,33.3,104,237,.439,11,32,.344,93,126,.738,312,11.1,18,88,106,3.8,79,137,84,42,7
T.J. Wheeler,27,22,782,29.0,84,197,.426,29,71,.408,81,96,.844,278,10.3,29,82,111,4.1,67,72,58,18,3
Scott Pierce,28,16,517,18.5,55,131,.420,1,5,.200,52,79,.658,163,5.8,41,56,97,3.5,63,26,50,9,9
Robert Bennett,28,12,504,18.0,57,121,.471,2,2,1.000,17,48,.354,133,4.8,34,71,105,3.8,55,14,34,12,12
Brooks Taylor,27,11,696,25.8,34,109,.312,8,31,.258,33,69,.478,109,4.0,33,88,121,4.5,90,90,74,31,13
Marc Davidson,26,0,216,8.3,17,51,.333,1,7,.143,8,21,.381,43,1.7,15,17,32,1.2,21,9,20,4,1
Tim Geers,5,0,19,3.8,1,9,.111,1,3,.333,3,4,.750,6,1.2,3,1,4,0.8,2,0,2,1,1
Will Tuttle,22,0,124,5.6,3,18,.167,0,6,.000,20,28,.714,26,1.2,3,12,15,0.7,21,10,19,7,5
Matt Williams,6,0,6,1.0,2,2,1.000,0,0,.000,0,0,.000,4,0.7,0,2,2,0.3,0,0,1,0,0
Steve Roth,16,0,35,2.2,3,8,.375,0,0,.000,3,4,.750,9,0.6,5,4,9,0.6,1,1,0,0,2
Doug Clarida,13,0,21,1.6,1,1,1.000,1,1,1.000,3,7,.429,6,0.5,0,3,3,0.2,0,2,2,0,0
Mike Duis,15,0,21,1.4,1,6,.167,1,4,.250,0,0,.000,3,0.2,0,1,1,0.1,0,1,3,0,1
Gene Cross,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Tom Drynan,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Troy Fischer,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Jerry Maher,2,0,2,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,1,1,0.5,2,1,1,0,0
Brian McAleenan,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Brad Ostendorf,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Matt Schnaderbeck,6,0,6,1.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Tom Sloan,3,0,3,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
TeamTMTeam,28,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,53,35,88,3.1,0,0,1,0,0
Brent Versendaal,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
