Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Demetri McCamey,36,34,1241,34.5,191,421,.454,56,164,.341,104,147,.707,542,15.1,17,112,129,3.6,90,254,123,53,5
Mike Tisdale,36,36,1006,27.9,165,282,.585,5,6,.833,94,112,.839,429,11.9,77,139,216,6.0,119,28,50,12,59
Mike Davis,36,32,1161,32.3,172,364,.473,0,0,.000,41,65,.631,385,10.7,81,249,330,9.2,68,34,53,18,23
D.J. Richardson,36,35,1112,30.9,124,311,.399,69,177,.390,62,80,.775,379,10.5,18,79,97,2.7,74,75,60,24,6
Brandon Paul,36,14,682,18.9,93,279,.333,36,129,.279,58,90,.644,280,7.8,42,68,110,3.1,62,46,46,29,5
Dominique Keller,35,0,399,11.4,66,145,.455,10,35,.286,14,27,.519,156,4.5,24,54,78,2.2,40,20,26,15,12
Bill Cole,36,22,766,21.3,57,124,.460,29,77,.377,14,23,.609,157,4.4,38,78,116,3.2,72,36,24,24,22
Tyler Griffey,32,4,270,8.4,42,80,.525,7,20,.350,14,16,.875,105,3.3,22,34,56,1.8,38,11,13,10,4
Alex Legion,11,1,109,9.9,11,37,.297,4,19,.211,4,6,.667,30,2.7,0,10,10,0.9,6,5,4,3,1
Jeff Jordan,33,2,454,13.8,22,50,.440,2,8,.250,6,10,.600,52,1.6,16,28,44,1.3,32,56,26,13,3
Richard Semrau,15,0,67,4.5,9,13,.692,0,0,.000,3,5,.600,21,1.4,8,14,22,1.5,3,3,4,0,3
Bubba Chisholm,12,0,16,1.3,3,12,.250,1,10,.100,0,0,.000,7,0.6,0,2,2,0.2,2,0,1,1,0
Stan Simpson,8,0,17,2.1,2,9,.222,0,0,.000,0,0,.000,4,0.5,3,0,3,0.4,3,2,0,0,1
TeamTMTeam,36,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,50,74,124,3.4,2,0,13,0,0
