Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Luther Head,39,39,1297,33.3,214,462,.463,116,283,.410,78,99,.788,622,15.9,24,131,155,4.0,54,150,69,67,9
Dee Brown,39,39,1272,32.6,179,359,.499,99,228,.434,61,79,.772,518,13.3,21,83,104,2.7,72,177,73,70,3
Deron Williams,39,39,1315,33.7,178,411,.433,68,187,.364,65,96,.677,489,12.5,14,128,142,3.6,80,264,109,38,8
Roger Powell,39,39,979,25.1,175,319,.549,20,52,.385,97,133,.729,467,12.0,103,119,222,5.7,102,16,42,25,9
James Augustine,39,39,1037,26.6,141,227,.621,0,0,.000,110,147,.748,392,10.1,100,195,295,7.6,83,43,46,36,46
Jack Ingram,39,0,589,15.1,71,150,.473,9,23,.391,23,29,.793,174,4.5,51,56,107,2.7,79,17,15,26,20
Nick Smith,38,0,413,10.9,54,133,.406,4,11,.364,15,23,.652,127,3.3,20,58,78,2.1,50,24,21,11,18
Rich McBride,38,0,546,14.4,32,99,.323,27,87,.310,7,7,1.000,98,2.6,16,35,51,1.3,41,29,19,15,2
Warren Carter,33,0,261,7.9,32,62,.516,1,6,.167,9,19,.474,74,2.2,19,39,58,1.8,26,5,14,9,6
Shaun Pruitt,21,0,97,4.6,10,26,.385,0,0,.000,9,18,.500,29,1.4,10,9,19,0.9,17,0,10,3,1
Fred Nkemdi,18,0,44,2.4,6,10,.600,0,0,.000,0,1,.000,12,0.7,4,2,6,0.3,7,2,6,0,1
TeamTMTeam,39,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,43,58,101,2.6,0,0,4,0,0
