Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Efrem Winters,31,28,1040,33.5,182,354,.514,0,0,.000,92,120,.767,456,14.7,0,205,205,6.6,70,54,46,19,21
Bruce Douglas,31,30,1113,35.9,159,337,.472,0,0,.000,81,109,.743,399,12.9,0,136,136,4.4,69,177,82,73,5
Doug Altenberger,31,29,1124,36.3,143,281,.509,0,0,.000,66,95,.695,352,11.4,0,115,115,3.7,57,68,39,39,4
George Montgomery,31,30,967,31.2,124,226,.549,0,0,.000,53,103,.515,301,9.7,0,224,224,7.2,92,53,42,27,17
Quinn Richardson,31,28,1028,33.2,94,160,.588,0,0,.000,50,63,.794,238,7.7,0,59,59,1.9,60,93,37,23,0
Anthony Welch,2,2,25,12.5,6,12,.500,0,0,.000,2,2,1.000,14,7.0,0,4,4,2.0,3,0,4,0,0
Scott Meents,28,6,465,16.6,61,134,.455,0,0,.000,23,33,.697,145,5.2,0,91,91,3.3,60,33,34,9,25
Tom Schafer,29,1,302,10.4,28,66,.424,0,0,.000,23,33,.697,79,2.7,0,43,43,1.5,28,9,19,6,1
Reggie Woodward,14,0,43,3.1,12,26,.462,0,0,.000,4,5,.800,28,2.0,0,10,10,0.7,8,5,7,3,0
Tony Wysinger,30,0,192,6.4,16,36,.444,0,0,.000,27,35,.771,59,2.0,0,14,14,0.5,18,23,16,11,0
"Drag75Marinkovich, Drag Marinkovich",4,0,6,1.5,2,3,.667,0,0,.000,2,2,1.000,6,1.5,0,2,2,0.5,2,0,0,0,0
Joe Klauke,2,0,2,1.0,1,1,1.000,0,0,.000,0,0,.000,2,1.0,0,0,0,0.0,1,0,1,0,0
Dee Maras,6,0,30,5.0,3,3,1.000,0,0,.000,0,3,.000,6,1.0,0,11,11,1.8,4,2,7,1,0
Don Klusendorf,19,1,55,2.9,4,13,.308,0,0,.000,10,15,.667,18,0.9,0,10,10,0.5,3,6,2,1,0
Tom Siegel,3,0,3,1.0,1,1,1.000,0,0,.000,0,0,.000,2,0.7,0,1,1,0.3,1,0,0,0,0
Steven Freeman,2,0,3,1.5,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
B.J. Jenkins,2,0,2,1.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,1,1,0.5,0,0,0,0,0
TeamTMTeam,31,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,89,89,2.9,0,0,7,0,0
