Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Keaton Wagler,22,22,708,32.2,116,242,.479,56,128,.438,111,136,.816,399,18.1,42,67,109,5.0,42,93,33,18,5
Kylan Boswell,18,18,570,31.7,85,179,.475,24,78,.308,63,77,.818,257,14.3,25,50,75,4.2,41,61,24,13,0
Andrej Stojakovic,21,19,573,27.3,108,222,.486,15,61,.246,49,59,.831,280,13.3,29,66,95,4.5,26,24,32,7,13
David Mirkovic,22,21,625,28.4,94,200,.470,30,83,.361,54,67,.806,272,12.4,56,125,181,8.2,36,53,44,10,5
Tomislav Ivisic,19,18,464,24.4,71,146,.486,31,88,.352,19,27,.704,192,10.1,32,69,101,5.3,30,26,26,6,11
Zvonimir Ivisic,22,4,371,16.9,56,103,.544,22,64,.344,24,38,.632,158,7.2,24,86,110,5.0,30,8,14,8,50
Ben Humrichous,22,1,454,20.6,37,105,.352,30,91,.330,17,22,.773,121,5.5,23,58,81,3.7,29,16,5,9,16
Jake Davis,22,7,392,17.8,37,83,.446,31,73,.425,7,10,.700,112,5.1,19,22,41,1.9,25,14,3,5,4
Mihailo Petrovic,13,0,92,7.1,11,33,.333,2,9,.222,5,6,.833,29,2.2,4,7,11,0.8,5,16,12,2,0
Brandon Lee,10,0,56,5.6,5,14,.357,0,1,.000,10,11,.909,20,2.0,2,4,6,0.6,8,3,4,2,0
Jason Jakstys,9,0,48,5.3,4,5,.800,0,0,.000,4,6,.667,12,1.3,7,10,17,1.9,7,2,0,1,4
AJ Redd,6,0,18,3.0,2,4,.500,0,1,.000,4,6,.667,8,1.3,1,2,3,0.5,2,0,1,0,0
Blake Fagbemi,6,0,29,4.8,1,3,.333,0,0,.000,0,0,.000,2,0.3,1,8,9,1.5,1,3,2,0,0
TeamTMTeam,22,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,28,39,67,3.0,0,0,7,0,0
