Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Cory Bradford,32,32,1048,32.8,156,421,.371,96,255,.376,82,112,.732,490,15.3,20,60,80,2.5,40,63,52,31,1
Frank Williams,32,29,972,30.4,125,327,.382,42,133,.316,74,92,.804,366,11.4,17,93,110,3.4,41,131,90,74,9
Marcus Griffin,27,14,550,20.4,110,201,.547,0,0,.000,70,107,.654,290,10.7,55,80,135,5.0,75,20,46,16,41
Brian Cook,32,17,595,18.6,112,213,.526,12,38,.316,51,83,.614,287,9.0,48,95,143,4.5,76,24,40,22,28
Cleotis Brown,32,15,571,17.8,81,198,.409,21,65,.323,40,58,.690,223,7.0,43,70,113,3.5,56,33,36,24,4
Sergio McClain,29,19,616,21.2,71,157,.452,4,13,.308,51,72,.708,197,6.8,27,82,109,3.8,68,71,60,53,5
Lucas Johnson,32,13,652,20.4,50,119,.420,29,73,.397,67,92,.728,196,6.1,30,76,106,3.3,74,62,39,25,7
Damir Krupalija,27,0,373,13.8,43,74,.581,5,18,.278,16,31,.516,107,4.0,39,73,112,4.1,51,28,24,20,6
Robert Archibald,30,20,364,12.1,35,67,.522,0,0,.000,31,48,.646,101,3.4,44,53,97,3.2,68,15,29,12,7
Sean Harrington,30,0,331,11.0,26,68,.382,20,50,.400,20,24,.833,92,3.1,1,14,15,0.5,23,29,17,9,1
Victor Chukwudebe,23,1,242,10.5,18,63,.286,0,0,.000,15,33,.455,51,2.2,15,30,45,2.0,38,7,11,3,9
Joe Cross,10,0,14,1.4,4,6,.667,1,3,.333,0,0,.000,9,0.9,2,1,3,0.3,1,0,0,2,0
Nate Mast,20,0,96,4.8,3,11,.273,1,4,.250,8,11,.727,15,0.8,1,7,8,0.4,8,16,11,6,1
TeamTMTeam,32,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,55,46,101,3.2,0,0,3,0,0
