Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Kiwane Garris,31,30,1040,33.5,150,342,.439,46,119,.387,148,178,.831,494,15.9,17,71,88,2.8,74,117,75,36,0
Shelly Clark,28,25,775,27.7,131,262,.500,0,0,.000,67,108,.620,329,11.8,114,119,233,8.3,87,43,68,28,11
Richard Keene,31,31,960,31.0,123,324,.380,63,173,.364,29,44,.659,338,10.9,20,101,121,3.9,71,111,63,30,4
Jerry Hester,30,27,907,30.2,119,260,.458,38,94,.404,47,88,.534,323,10.8,60,85,145,4.8,83,57,50,23,10
Robert Bennett,31,24,819,26.4,98,178,.551,0,2,.000,66,109,.606,262,8.5,67,128,195,6.3,88,15,58,22,13
Jarrod Gee,31,6,599,19.3,73,160,.456,0,0,.000,39,61,.639,185,6.0,47,60,107,3.5,58,7,26,12,7
Chris Gandy,23,7,186,8.1,32,58,.552,2,6,.333,6,8,.750,72,3.1,25,29,54,2.3,29,1,15,2,3
Kevin Turner,27,0,264,9.8,26,78,.333,14,38,.368,7,17,.412,73,2.7,3,17,20,0.7,19,17,18,2,0
Bryant Notree,31,4,358,11.5,36,101,.356,2,12,.167,8,27,.296,82,2.6,35,32,67,2.2,43,15,22,7,2
Brian Johnson,24,0,182,7.6,17,31,.548,1,5,.200,15,21,.714,50,2.1,8,17,25,1.0,11,10,13,7,3
Brett Robisch,17,0,43,2.5,10,17,.588,1,5,.200,2,8,.250,23,1.4,7,5,12,0.7,4,0,1,1,0
Matt Heldman,21,1,67,3.2,3,10,.300,0,2,.000,12,14,.857,18,0.9,1,11,12,0.6,8,4,11,3,0
Steve Roth,15,0,36,2.4,4,14,.286,0,0,.000,1,3,.333,9,0.6,10,6,16,1.1,10,0,2,0,0
Derrick Thomas,14,0,15,1.1,1,6,.167,0,1,.000,5,8,.625,7,0.5,1,3,4,0.3,1,0,1,1,0
"Robert10Edgerton, Robert Edgerton",1,0,1,1.0,0,1,.000,0,1,.000,0,0,.000,0,0.0,0,1,1,1.0,0,0,0,0,0
John Larson,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Robert Rodgers,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
"Carl11Schulz, Carl Schulz",1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
John Steele,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,1,0,0,0,0
TeamTMTeam,31,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,53,34,87,2.8,0,0,2,0,0
