Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Ken Norman,31,31,1113,35.9,256,443,.578,1,4,.250,128,176,.727,641,20.7,0,303,303,9.8,74,68,85,37,48
Doug Altenberger,30,29,997,33.2,139,292,.476,76,159,.478,55,76,.724,409,13.6,0,138,138,4.6,75,91,39,41,6
Tony Wysinger,30,29,948,31.6,128,261,.490,28,61,.459,54,63,.857,338,11.3,0,56,56,1.9,59,192,73,40,2
Lowell Hamilton,31,22,727,23.5,149,258,.578,0,0,.000,36,66,.545,334,10.8,0,121,121,3.9,82,28,43,24,31
Glynn Blackwell,31,19,678,21.9,120,232,.517,6,15,.400,61,70,.871,307,9.9,0,106,106,3.4,54,64,55,31,4
Jens Kujawa,31,15,499,16.1,53,128,.414,0,0,.000,35,44,.795,141,4.5,0,109,109,3.5,83,22,25,14,14
Stephen Bardo,31,10,630,20.3,42,102,.412,1,3,.333,34,50,.680,119,3.8,0,92,92,3.0,71,85,52,23,15
Kendall Gill,31,0,345,11.1,40,83,.482,0,1,.000,34,53,.642,114,3.7,0,42,42,1.4,27,27,23,39,8
Larry Smith,20,0,107,5.4,12,30,.400,0,0,.000,14,26,.538,38,1.9,0,13,13,0.7,9,16,22,6,2
Phil Kunz,23,0,160,7.0,13,27,.481,0,0,.000,10,18,.556,36,1.6,0,30,30,1.3,25,3,3,4,11
Jeff Finke,6,0,25,4.2,1,2,.500,0,0,.000,2,4,.500,4,0.7,0,5,5,0.8,3,1,1,1,0
Olaf Blab,8,0,22,2.8,2,5,.400,0,0,.000,0,1,.000,4,0.5,0,5,5,0.6,0,0,1,0,2
Jim Green,12,0,15,1.3,1,4,.250,0,0,.000,1,2,.500,3,0.3,0,3,3,0.3,1,0,2,0,1
Bryan Brickner,2,0,3,1.5,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,1,1,0.5,1,1,1,0,0
John Kelly,2,0,2,1.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
TeamTMTeam,31,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,76,76,2.5,0,0,3,0,0
Dave Wells,4,0,5,1.3,0,2,.000,0,0,.000,0,0,.000,0,0.0,0,1,1,0.3,0,0,0,0,0
