Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Ayo Dosunmu,32,32,994,31.1,163,375,.435,50,142,.352,66,95,.695,442,13.8,23,105,128,4.0,64,104,72,41,8
Trent Frazier,32,31,980,30.6,148,360,.411,80,197,.406,63,83,.759,439,13.7,10,65,75,2.3,74,82,65,44,1
Giorgi Bezhanishvili,33,33,866,26.2,169,312,.542,5,30,.167,71,108,.657,414,12.5,76,97,173,5.2,126,26,78,22,26
Andres Feliz,33,4,737,22.3,97,214,.453,10,37,.270,71,94,.755,275,8.3,20,75,95,2.9,83,74,51,33,1
Aaron Jordan,33,31,891,27.0,81,221,.367,59,142,.415,43,55,.782,264,8.0,42,109,151,4.6,84,48,24,29,13
Kipper Nichols,33,14,597,18.1,76,178,.427,14,64,.219,22,38,.579,188,5.7,26,65,91,2.8,82,36,27,19,10
Tevian Jones,24,0,221,9.2,31,76,.408,13,44,.295,10,11,.909,85,3.5,17,16,33,1.4,28,5,4,11,1
Da'Monte Williams,33,18,712,21.6,32,93,.344,13,41,.317,35,50,.700,112,3.4,28,89,117,3.5,66,41,22,27,8
Alan Griffin,30,1,243,8.1,30,78,.385,14,46,.304,11,18,.611,85,2.8,22,25,47,1.6,22,12,27,8,7
Adonis De La Rosa,26,1,225,8.7,19,54,.352,0,0,.000,22,31,.710,60,2.3,20,26,46,1.8,50,8,20,5,1
Samba Kane,18,0,86,4.8,13,22,.591,0,0,.000,1,7,.143,27,1.5,4,5,9,0.5,10,2,8,2,10
Drew Cayce,8,0,17,2.1,1,3,.333,0,2,.000,0,0,.000,2,0.3,0,3,3,0.4,1,1,3,0,0
Samson Oladimeji,11,0,25,2.3,1,4,.250,0,0,.000,0,1,.000,2,0.2,2,2,4,0.4,4,1,1,0,0
Tyler Underwood,18,0,68,3.8,1,8,.125,1,6,.167,0,0,.000,3,0.2,0,10,10,0.6,6,5,3,4,0
Zach Griffith,5,0,15,3.0,0,3,.000,0,0,.000,0,0,.000,0,0.0,0,3,3,0.6,0,1,0,0,0
TeamTMTeam,33,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,61,42,103,3.1,0,0,29,0,0
