Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Ken Norman,32,27,1015,31.7,216,337,.641,0,0,.000,93,116,.802,525,16.4,0,226,226,7.1,70,32,56,24,25
Anthony Welch,32,27,932,29.1,156,292,.534,0,0,.000,22,29,.759,334,10.4,0,147,147,4.6,71,49,53,18,12
Tony Wysinger,28,16,716,25.6,115,218,.528,0,0,.000,39,47,.830,269,9.6,0,41,41,1.5,46,106,30,39,2
Efrem Winters,32,28,944,29.5,124,235,.528,0,0,.000,48,81,.593,296,9.3,0,183,183,5.7,79,40,64,14,19
Bruce Douglas,32,27,1070,33.4,118,248,.476,0,0,.000,47,60,.783,283,8.8,0,88,88,2.8,67,199,55,87,10
Glynn Blackwell,32,13,648,20.3,94,169,.556,0,0,.000,18,27,.667,206,6.4,0,63,63,2.0,35,53,50,37,0
Scott Meents,32,12,507,15.8,77,148,.520,0,0,.000,24,30,.800,178,5.6,0,89,89,2.8,58,46,45,17,22
Doug Altenberger,5,0,68,13.6,10,19,.526,0,0,.000,0,2,.000,20,4.0,0,10,10,2.0,11,3,5,3,0
Lowell Hamilton,24,0,183,7.6,36,67,.537,0,0,.000,16,26,.615,88,3.7,0,41,41,1.7,27,4,6,4,6
Curtis Taylor,18,0,139,7.7,15,28,.536,0,0,.000,24,29,.828,54,3.0,0,20,20,1.1,10,14,16,9,1
Jens Kujawa,18,0,98,5.4,19,39,.487,0,0,.000,4,9,.444,42,2.3,0,44,44,2.4,19,4,11,2,5
Reggie Woodward,4,0,20,5.0,1,7,.143,0,0,.000,7,8,.875,9,2.3,0,1,1,0.3,2,1,6,2,0
Dave Wells,1,0,2,2.0,0,0,.000,0,0,.000,2,3,.667,2,2.0,0,0,0,0.0,0,0,0,0,1
Olaf Blab,14,0,50,3.6,7,13,.538,0,0,.000,1,2,.500,15,1.1,0,8,8,0.6,7,2,4,1,6
Brian Sterrett,2,0,5,2.5,1,3,.333,0,0,.000,0,0,.000,2,1.0,0,1,1,0.5,1,0,1,0,0
Chuck Keller,13,0,26,2.0,1,5,.200,0,0,.000,5,7,.714,7,0.5,0,1,1,0.1,1,2,4,1,0
Jim Green,2,0,3,1.5,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
TeamTMTeam,32,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,83,83,2.6,0,0,2,0,0
