Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Brian Cook,30,30,940,31.3,202,422,.479,27,89,.303,168,205,.820,599,20.0,44,183,227,7.6,88,60,83,20,13
Dee Brown,32,31,1090,34.1,142,327,.434,51,155,.329,49,72,.681,384,12.0,35,84,119,3.7,56,159,62,57,0
Roger Powell,30,19,558,18.6,104,176,.591,20,49,.408,33,57,.579,261,8.7,40,61,101,3.4,46,12,24,9,12
Luther Head,25,8,509,20.4,68,131,.519,28,66,.424,34,46,.739,198,7.9,23,48,71,2.8,42,42,40,27,3
Sean Harrington,32,6,718,22.4,76,171,.444,64,144,.444,19,30,.633,235,7.3,2,71,73,2.3,63,65,25,29,0
James Augustine,32,29,697,21.8,94,162,.580,5,14,.357,32,45,.711,225,7.0,64,122,186,5.8,105,25,45,20,27
Deron Williams,32,30,868,27.1,75,176,.426,28,79,.354,24,45,.533,202,6.3,15,80,95,3.0,76,145,59,46,5
Nick Smith,31,5,538,17.4,60,121,.496,5,11,.455,38,44,.864,163,5.3,23,69,92,3.0,64,26,42,11,38
Aaron Spears,6,0,55,9.2,8,12,.667,0,0,.000,3,7,.429,19,3.2,4,5,9,1.5,8,6,5,1,1
Kyle Wilson,18,0,119,6.6,14,37,.378,4,16,.250,14,18,.778,46,2.6,13,16,29,1.6,23,8,5,4,1
Blandon Ferguson,23,1,218,9.5,11,33,.333,0,3,.000,18,26,.692,40,1.7,11,21,32,1.4,19,20,20,3,0
Jerrance Howard,14,1,52,3.7,4,16,.250,1,6,.167,0,0,.000,9,0.6,0,3,3,0.2,5,7,2,0,0
Nick Huge,8,0,17,2.1,0,3,.000,0,3,.000,4,4,1.000,4,0.5,0,1,1,0.1,2,0,1,0,0
Clayton Thomas,9,0,21,2.3,1,6,.167,0,1,.000,1,4,.250,3,0.3,1,3,4,0.4,1,0,2,0,0
TeamTMTeam,32,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,42,49,91,2.8,0,0,3,0,0
