Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Andy Kaufmann,31,30,968,31.2,225,482,.467,41,104,.394,169,203,.833,660,21.3,50,104,154,5.0,75,67,112,18,0
Deon Thomas,30,28,934,31.1,172,298,.577,0,0,.000,108,168,.643,452,15.1,73,130,203,6.8,69,18,56,10,54
Larry Smith,29,29,987,34.0,140,304,.461,24,63,.381,90,129,.698,394,13.6,43,125,168,5.8,71,144,96,42,8
Rennie Clemons,31,28,835,26.9,90,202,.446,8,18,.444,76,121,.628,264,8.5,16,83,99,3.2,84,96,88,43,7
Andy Kpedi,31,30,767,24.7,83,166,.500,0,0,.000,35,71,.493,201,6.5,74,123,197,6.4,92,15,50,13,27
T.J. Wheeler,13,1,201,15.5,18,38,.474,4,13,.308,19,24,.792,59,4.5,12,16,28,2.2,16,20,14,11,2
Scott Pierce,31,2,510,16.5,50,100,.500,0,1,.000,35,47,.745,135,4.4,40,56,96,3.1,72,18,29,11,7
Tom Michael,31,6,515,16.6,49,115,.426,18,44,.409,15,32,.469,131,4.2,25,59,84,2.7,47,31,30,17,10
Brooks Taylor,27,1,363,13.4,22,53,.415,1,6,.167,13,28,.464,58,2.1,20,34,54,2.0,44,28,39,27,4
Tim Geers,22,0,123,5.6,10,29,.345,5,16,.313,16,19,.842,41,1.9,7,11,18,0.8,11,8,10,5,4
Scott Bils,2,0,2,1.0,1,1,1.000,0,0,.000,0,0,.000,2,1.0,0,0,0,0.0,0,0,0,0,0
Craig Davis,1,0,1,1.0,0,0,.000,0,0,.000,1,2,.500,1,1.0,0,0,0,0.0,0,0,0,0,0
Scott Radis,2,0,2,1.0,0,2,.000,0,0,.000,2,2,1.000,2,1.0,0,0,0,0.0,0,0,2,0,0
Matt Schnaderbeck,2,0,2,1.0,1,1,1.000,0,0,.000,0,0,.000,2,1.0,1,0,1,0.5,0,0,0,0,0
Pat Kennedy,11,0,15,1.4,0,4,.000,0,0,.000,1,2,.500,1,0.1,1,1,2,0.2,3,1,1,0,0
Gene Cross,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,1,1,1.0,1,0,0,0,0
Troy Fischer,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Jerry Maher,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Scott Spitz,11,0,20,1.8,0,5,.000,0,0,.000,0,2,.000,0,0.0,2,2,4,0.4,1,0,2,1,0
TeamTMTeam,31,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,41,42,83,2.7,0,0,8,0,0
Ryan Tuttle,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
