Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Derek Harper,32,32,1187,37.1,198,369,.537,13,26,.500,83,123,.675,492,15.4,0,112,112,3.5,80,118,90,72,18
Efrem Winters,31,29,978,31.5,159,343,.464,0,0,.000,67,94,.713,385,12.4,0,213,213,6.9,80,20,60,14,31
Anthony Welch,32,31,1084,33.9,158,321,.492,0,1,.000,61,87,.701,377,11.8,0,201,201,6.3,52,44,52,17,15
Bruce Douglas,32,28,1017,31.8,118,257,.459,1,4,.250,64,89,.719,301,9.4,0,87,87,2.7,71,189,87,78,5
George Montgomery,32,9,643,20.1,72,143,.503,0,0,.000,40,78,.513,184,5.8,0,146,146,4.6,76,22,42,15,7
Bryan Leonard,30,23,495,16.5,51,113,.451,0,0,.000,20,38,.526,122,4.1,0,104,104,3.5,82,22,31,10,9
Jay Daniels,18,2,251,13.9,28,76,.368,0,1,.000,15,18,.833,71,3.9,0,29,29,1.6,28,11,13,9,2
Doug Altenberger,31,3,428,13.8,30,90,.333,1,3,.333,35,47,.745,96,3.1,0,40,40,1.3,43,23,21,15,0
Scott Meents,29,0,232,8.0,34,73,.466,0,0,.000,13,17,.765,81,2.8,0,35,35,1.2,33,27,18,6,14
Kevin Bontemps,27,3,138,5.1,8,15,.533,0,0,.000,14,21,.667,30,1.1,0,20,20,0.7,16,27,15,1,0
Reggie Woodward,14,0,29,2.1,6,11,.545,1,2,.500,3,5,.600,16,1.1,0,5,5,0.4,9,4,6,2,0
Don Klusendorf,13,0,21,1.6,2,5,.400,0,0,.000,5,6,.833,9,0.7,0,6,6,0.5,1,0,2,0,0
Dee Maras,12,0,24,2.0,2,9,.222,0,0,.000,0,1,.000,4,0.3,0,9,9,0.8,2,1,2,1,0
TeamTMTeam,32,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,97,97,3.0,0,0,4,0,0
