Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Shaun Pruitt,34,33,919,27.0,163,285,.572,0,0,.000,101,179,.564,427,12.6,107,141,248,7.3,86,27,73,16,20
Trent Meacham,34,31,1005,29.6,109,265,.411,74,185,.400,53,71,.746,345,10.1,9,73,82,2.4,85,79,50,24,3
Brian Randle,33,32,838,25.4,117,254,.461,8,39,.205,67,112,.598,309,9.4,68,114,182,5.5,111,46,56,21,16
Demetri McCamey,35,17,956,27.3,100,275,.364,50,147,.340,37,59,.627,287,8.2,22,79,101,2.9,54,115,87,18,3
Calvin Brock,35,16,775,22.1,100,220,.455,17,46,.370,41,62,.661,258,7.4,54,77,131,3.7,88,46,50,31,8
Chester Frazier,34,29,1136,33.4,57,169,.337,25,91,.275,27,52,.519,166,4.9,35,130,165,4.9,77,122,76,28,5
Rodney Alexander,31,15,424,13.7,49,126,.389,11,57,.193,34,48,.708,143,4.6,38,52,90,2.9,31,11,25,11,4
Mike Tisdale,35,2,363,10.4,53,110,.482,2,12,.167,19,30,.633,127,3.6,28,30,58,1.7,49,9,14,4,15
Mike Davis,34,0,355,10.4,36,82,.439,0,0,.000,15,32,.469,87,2.6,20,41,61,1.8,30,9,13,5,14
Bill Cole,12,0,81,6.8,11,21,.524,3,10,.300,3,7,.429,28,2.3,7,10,17,1.4,8,2,7,4,6
Steve Holdren,14,0,97,6.9,5,19,.263,3,15,.200,4,7,.571,17,1.2,1,10,11,0.8,11,7,2,2,0
Jeff Jordan,26,0,139,5.3,7,24,.292,1,3,.333,11,18,.611,26,1.0,2,10,12,0.5,11,9,12,6,0
Chris Hicks,10,0,13,1.3,2,9,.222,2,9,.222,1,2,.500,7,0.7,0,0,0,0.0,1,0,1,1,0
Brian Carlwell,3,0,5,1.7,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Richard Semrau,8,0,19,2.4,0,1,.000,0,0,.000,0,0,.000,0,0.0,1,4,5,0.6,3,0,1,0,0
TeamTMTeam,35,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,48,55,103,2.9,0,0,11,0,0
