Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Ayo Dosunmu,28,28,983,35.1,210,430,.488,32,82,.390,112,143,.783,564,20.1,31,146,177,6.3,58,147,93,31,6
Kofi Cockburn,31,31,838,27.0,214,327,.654,0,0,.000,120,217,.553,548,17.7,105,188,293,9.5,78,5,54,10,40
Trent Frazier,31,31,1044,33.7,98,245,.400,55,152,.362,64,77,.831,315,10.2,5,80,85,2.7,77,85,46,39,4
Andre Curbelo,31,0,667,21.5,109,219,.498,5,31,.161,59,81,.728,282,9.1,14,109,123,4.0,84,129,80,28,3
Adam Miller,31,31,792,25.5,90,230,.391,52,153,.340,26,38,.684,258,8.3,9,77,86,2.8,71,25,33,18,1
Da'Monte Williams,31,17,771,24.9,52,101,.515,35,64,.547,32,47,.681,171,5.5,31,133,164,5.3,63,52,21,25,10
Giorgi Bezhanishvili,31,0,450,14.5,67,123,.545,3,6,.500,22,35,.629,159,5.1,43,40,83,2.7,57,13,28,7,10
Jacob Grandison,30,16,459,15.3,50,95,.526,17,41,.415,22,23,.957,139,4.6,29,73,102,3.4,35,38,23,16,2
Coleman Hawkins,25,0,157,6.3,10,29,.345,3,13,.231,13,19,.684,36,1.4,9,12,21,0.8,16,11,6,2,9
Jermaine Hamlin,8,0,24,3.0,2,3,.667,0,0,.000,4,8,.500,8,1.0,0,3,3,0.4,5,0,1,0,1
Brandon Lieb,5,0,12,2.4,1,7,.143,0,0,.000,2,2,1.000,4,0.8,4,2,6,1.2,0,1,3,0,1
Tyler Underwood,7,0,16,2.3,2,3,.667,1,1,1.000,0,0,.000,5,0.7,0,2,2,0.3,2,0,1,0,0
Zach Griffith,7,1,22,3.1,2,2,1.000,0,0,.000,0,0,.000,4,0.6,1,5,6,0.9,1,0,1,0,0
Benjamin Bosmans-Verdonk,8,0,18,2.3,1,3,.333,0,0,.000,0,0,.000,2,0.3,1,2,3,0.4,0,0,1,0,0
Connor Serven,7,0,13,1.9,1,1,1.000,0,0,.000,0,0,.000,2,0.3,1,1,2,0.3,2,0,1,0,0
Edgar Padilla Jr.,6,0,9,1.5,0,1,.000,0,1,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
TeamTMTeam,31,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,41,42,83,2.7,0,0,13,0,0
