Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Rayvonte Rice,35,35,1146,32.7,192,447,.430,46,156,.295,125,171,.731,555,15.9,44,166,210,6.0,86,53,55,58,12
Tracy Abrams,35,35,1054,30.1,114,342,.333,30,111,.270,115,149,.772,373,10.7,16,106,122,3.5,77,112,67,42,8
Joseph Bertrand,35,23,877,25.1,113,235,.481,20,52,.385,51,75,.680,297,8.5,50,84,134,3.8,64,27,61,23,0
Jon Ekey,35,23,915,26.1,91,224,.406,59,161,.366,16,21,.762,257,7.3,59,110,169,4.8,74,9,16,31,12
Nnanna Egwu,35,35,1038,29.7,101,244,.414,5,23,.217,35,45,.778,242,6.9,89,122,211,6.0,109,15,39,12,73
Kendrick Nunn,35,12,682,19.5,83,182,.456,31,80,.388,21,26,.808,218,6.2,7,51,58,1.7,41,39,35,21,5
Malcolm Hill,35,12,495,14.1,46,120,.383,15,44,.341,47,61,.770,154,4.4,21,64,85,2.4,34,23,30,10,4
Jaylon Tate,33,0,403,12.2,20,76,.263,1,23,.043,19,29,.655,60,1.8,4,26,30,0.9,31,64,30,14,3
Maverick Morgan,35,0,250,7.1,21,36,.583,0,0,.000,10,15,.667,52,1.5,20,23,43,1.2,45,3,13,3,8
Austin Colbert,22,0,121,5.5,13,26,.500,0,3,.000,3,10,.300,29,1.3,9,8,17,0.8,19,4,3,0,2
Mike LaTulip,12,0,44,3.7,3,9,.333,3,9,.333,2,4,.500,11,0.9,0,3,3,0.3,7,2,1,1,0
TeamTMTeam,34,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,56,43,99,2.9,0,0,14,0,0
