Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Kasparas Jakucionis,33,33,1045,31.7,149,339,.440,54,170,.318,142,168,.845,494,15.0,46,142,188,5.7,88,156,123,29,9
Tomislav Ivisic,32,31,860,26.9,156,317,.492,55,154,.357,48,64,.750,415,13.0,57,189,246,7.7,76,72,51,18,39
Will Riley,35,9,900,25.7,155,359,.432,47,144,.326,84,116,.724,441,12.6,42,103,145,4.1,42,78,42,9,10
Kylan Boswell,35,34,1083,30.9,141,330,.427,35,143,.245,113,143,.790,430,12.3,46,123,169,4.8,63,119,74,39,9
Tre White,32,31,748,23.4,114,225,.507,23,70,.329,84,102,.824,335,10.5,46,129,175,5.5,64,25,32,14,12
Ben Humrichous,35,26,901,25.7,90,240,.375,62,181,.343,24,34,.706,266,7.6,41,93,134,3.8,52,31,17,16,23
Morez Johnson Jr.,30,8,530,17.7,77,120,.642,0,0,.000,55,89,.618,209,7.0,82,118,200,6.7,75,8,23,12,33
Dra Gibbs-Lawhorn,35,2,522,14.9,77,174,.443,25,98,.255,29,36,.806,208,5.9,26,29,55,1.6,56,17,23,11,2
Jake Davis,32,1,301,9.4,35,85,.412,22,64,.344,3,6,.500,95,3.0,17,28,45,1.4,39,10,8,1,5
Carey Booth,21,0,110,5.2,9,33,.273,6,25,.240,2,4,.500,26,1.2,3,19,22,1.0,10,1,6,0,4
Keaton Kutcher,13,0,24,1.8,2,6,.333,1,5,.200,0,0,.000,5,0.4,0,3,3,0.2,1,1,0,0,0
AJ Redd,14,0,26,1.9,1,5,.200,0,0,.000,1,6,.167,3,0.2,2,6,8,0.6,1,2,1,1,1
TeamTMTeam,35,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,45,57,102,2.9,0,0,9,0,0
