Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Kiwane Garris,32,32,1089,34.0,171,428,.400,76,197,.386,204,245,.833,622,19.4,16,97,113,3.5,77,180,81,52,2
Jerry Hester,5,4,130,26.0,26,68,.382,6,23,.261,13,14,.929,71,14.2,15,13,28,5.6,14,13,10,4,0
Chris Gandy,32,32,806,25.2,134,261,.513,14,34,.412,70,98,.714,352,11.0,70,111,181,5.7,94,18,54,28,21
Matt Heldman,32,26,899,28.1,106,230,.461,64,153,.418,46,60,.767,322,10.1,32,78,110,3.4,64,66,42,41,1
Kevin Turner,32,20,830,25.9,120,293,.410,62,157,.395,21,26,.808,323,10.1,21,54,75,2.3,56,66,46,32,1
Bryant Notree,32,11,655,20.5,92,225,.409,10,33,.303,58,79,.734,252,7.9,52,66,118,3.7,82,42,54,22,1
Jarrod Gee,32,16,634,19.8,86,159,.541,0,0,.000,23,39,.590,195,6.1,54,69,123,3.8,105,21,36,14,10
Brian Johnson,32,16,731,22.8,59,109,.541,1,8,.125,53,74,.716,172,5.4,58,63,121,3.8,85,64,51,20,14
Victor Chukwudebe,32,0,338,10.6,37,81,.457,0,0,.000,12,23,.522,86,2.7,26,43,69,2.2,60,5,14,12,12
Halim Abdullah,26,3,194,7.5,10,39,.256,5,19,.263,8,15,.533,33,1.3,1,5,6,0.2,10,25,23,16,0
Herb Caldwell,17,0,34,2.0,2,5,.400,0,0,.000,5,8,.625,9,0.5,3,6,9,0.5,5,1,2,0,0
David Freeman,17,0,56,3.3,4,13,.308,0,5,.000,0,3,.000,8,0.5,3,4,7,0.4,4,5,5,4,1
Udoiwod Udoiwod,5,0,9,1.8,1,3,.333,0,0,.000,0,1,.000,2,0.4,1,1,2,0.4,1,0,1,0,0
Jelani Boline,15,0,38,2.5,0,0,.000,0,0,.000,1,6,.167,1,0.1,0,7,7,0.5,6,9,7,4,0
Jeff Reichardt,2,0,5,2.5,0,3,.000,0,3,.000,0,0,.000,0,0.0,0,2,2,1.0,1,0,0,0,0
TeamTMTeam,32,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,46,59,105,3.3,0,0,8,0,0
