Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Kendall Gill,29,29,1000,34.5,211,422,.500,23,66,.348,136,175,.777,581,20.0,70,73,143,4.9,66,96,72,63,16
Marcus Liberty,29,29,958,33.0,203,400,.508,8,21,.381,103,135,.763,517,17.8,83,123,206,7.1,86,39,46,32,26
Andy Kaufmann,29,16,682,23.5,91,204,.446,22,49,.449,81,101,.802,285,9.8,28,65,93,3.2,71,54,72,27,5
Stephen Bardo,29,29,944,32.6,99,225,.440,28,64,.438,55,78,.705,281,9.7,47,131,178,6.1,86,137,78,37,14
Rodney Jones,29,6,541,18.7,88,178,.494,0,0,.000,40,57,.702,216,7.4,43,83,126,4.3,82,9,30,17,18
Ervin Small,28,20,577,20.6,75,132,.568,1,1,1.000,49,71,.690,200,7.1,71,80,151,5.4,77,12,35,23,5
P.J. Bowman,29,13,572,19.7,39,110,.355,23,63,.365,21,29,.724,122,4.2,2,33,35,1.2,38,73,29,16,2
Andy Kpedi,19,3,201,10.6,17,34,.500,0,0,.000,20,28,.714,54,2.8,17,37,54,2.8,34,2,12,4,11
Pat Kennedy,2,0,2,1.0,1,3,.333,0,0,.000,2,2,1.000,4,2.0,2,0,2,1.0,0,1,0,0,0
Scott Radis,1,0,1,1.0,1,2,.500,0,0,.000,0,0,.000,2,2.0,0,0,0,0.0,1,0,0,0,0
Travis Smith,1,0,1,1.0,1,1,1.000,0,0,.000,0,0,.000,2,2.0,0,0,0,0.0,2,0,0,0,0
Tim Geers,20,0,103,5.2,11,29,.379,0,2,.000,11,21,.524,33,1.7,8,11,19,1.0,9,9,4,5,1
Ken Gibson,20,0,53,2.7,11,30,.367,4,18,.222,8,8,1.000,34,1.7,3,5,8,0.4,6,1,6,2,0
Brooks Taylor,24,0,150,6.3,12,31,.387,0,3,.000,13,20,.650,37,1.5,11,14,25,1.0,26,24,16,10,5
Ed Armstrong,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Scott Bils,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Troy Fischer,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Jerry Maher,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Brian O'Connell,2,0,2,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,2,0,0,0,0
Todd Russell,1,0,1,1.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Brian Schmitz,2,0,2,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Matt Schnaderbeck,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,1,1,1.0,0,0,0,0,1
Scott Spitz,1,0,1,1.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,1,0,1,1.0,0,0,0,0,0
TeamTMTeam,29,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,39,37,76,2.6,0,0,3,0,0
Ryan Tuttle,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
