Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Malcolm Hill,35,35,1164,33.3,189,435,.434,65,183,.355,160,204,.784,603,17.2,35,145,180,5.1,74,102,66,42,13
Maverick Morgan,35,25,895,25.6,143,265,.540,0,0,.000,61,93,.656,347,9.9,61,97,158,4.5,77,30,59,10,28
Tracy Abrams,35,30,846,24.2,104,244,.426,51,127,.402,42,59,.712,301,8.6,8,93,101,2.9,70,81,44,36,6
Leron Black,31,27,627,20.2,101,223,.453,11,37,.297,39,54,.722,252,8.1,55,141,196,6.3,89,13,37,14,3
Jalen Coleman-Lands,35,15,850,24.3,94,257,.366,71,187,.380,21,25,.840,280,8.0,7,75,82,2.3,73,34,35,24,4
Michael Finke,32,8,635,19.8,83,172,.483,37,90,.411,17,31,.548,220,6.9,49,86,135,4.2,44,21,30,10,5
Mike Thorne Jr.,23,10,318,13.8,52,95,.547,0,0,.000,16,35,.457,120,5.2,28,50,78,3.4,50,8,26,1,8
Kipper Nichols,21,1,286,13.6,39,86,.453,12,27,.444,13,21,.619,103,4.9,19,41,60,2.9,47,2,15,7,7
Te'Jon Lucas,31,15,642,20.7,47,115,.409,12,32,.375,42,71,.592,148,4.8,7,51,58,1.9,58,95,51,32,1
Jaylon Tate,26,7,408,15.7,18,47,.383,2,11,.182,24,35,.686,62,2.4,8,26,34,1.3,30,73,32,12,2
D.J. Williams,17,0,150,8.8,17,40,.425,2,10,.200,3,5,.600,39,2.3,4,11,15,0.9,6,8,8,1,5
Aaron Jordan,24,2,165,6.9,8,28,.286,6,20,.300,1,6,.167,23,1.0,6,21,27,1.1,19,5,4,8,1
Alex Austin,10,0,20,2.0,2,8,.250,0,4,.000,0,0,.000,4,0.4,4,4,8,0.8,3,0,0,0,0
Clayton Jones,9,0,11,1.2,1,3,.333,1,2,.500,1,1,1.000,4,0.4,0,0,0,0.0,0,0,0,0,0
Samson Oladimeji,7,0,8,1.1,0,1,.000,0,1,.000,2,3,.667,2,0.3,2,1,3,0.4,1,0,0,0,0
TeamTMTeam,35,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,49,33,82,2.3,0,0,26,0,0
