Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Rayvonte Rice,24,20,721,30.0,130,276,.471,44,101,.436,92,114,.807,396,16.5,32,123,155,6.5,64,44,31,43,7
Malcolm Hill,33,32,1010,30.6,156,352,.443,42,108,.389,121,155,.781,475,14.4,61,98,159,4.8,68,44,49,28,7
Kendrick Nunn,33,24,996,30.2,131,327,.401,54,150,.360,49,60,.817,365,11.1,13,103,116,3.5,54,62,45,39,6
Aaron Cosby,19,13,480,25.3,46,157,.293,32,103,.311,24,30,.800,148,7.8,6,63,69,3.6,27,32,25,5,0
Ahmad Starks,33,20,794,24.1,91,265,.343,48,147,.327,25,30,.833,255,7.7,8,45,53,1.6,51,73,37,22,4
Nnanna Egwu,33,33,982,29.8,85,198,.429,10,33,.303,33,42,.786,213,6.5,84,112,196,5.9,99,33,36,26,59
Leron Black,33,10,487,14.8,67,140,.479,0,3,.000,30,44,.682,164,5.0,42,99,141,4.3,89,4,28,11,6
Jaylon Tate,32,13,652,20.4,28,76,.368,1,12,.083,59,70,.843,116,3.6,2,37,39,1.2,59,92,45,26,3
Maverick Morgan,31,0,275,8.9,30,66,.455,0,0,.000,19,23,.826,79,2.5,26,22,48,1.5,33,3,14,3,11
Austin Colbert,25,0,190,7.6,16,33,.485,3,4,.750,8,13,.615,43,1.7,24,31,55,2.2,29,2,7,4,2
Mike LaTulip,16,0,45,2.8,6,13,.462,4,9,.444,10,10,1.000,26,1.6,0,9,9,0.6,3,0,1,1,0
Cameron Liss,12,0,16,1.3,0,0,.000,0,0,.000,1,2,.500,1,0.1,0,3,3,0.3,1,0,1,0,0
Ryan Schmidt,4,0,2,0.5,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
TeamTMTeam,9,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,16,10,26,2.9,0,0,2,0,0
