Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Dee Brown,33,33,1183,35.8,157,437,.359,78,243,.321,78,103,.757,470,14.2,15,87,102,3.1,61,191,94,53,1
James Augustine,33,33,1079,32.7,174,279,.624,1,2,.500,99,152,.651,448,13.6,100,200,300,9.1,84,59,67,47,24
Rich McBride,33,33,989,30.0,112,277,.404,83,206,.403,22,25,.880,329,10.0,5,55,60,1.8,63,70,47,24,0
Brian Randle,32,32,855,26.7,109,210,.519,6,34,.176,48,81,.593,272,8.5,77,96,173,5.4,104,47,43,26,17
Jamar Smith,32,0,613,19.2,85,181,.470,66,137,.482,19,27,.704,255,8.0,17,36,53,1.7,29,43,34,16,1
Shaun Pruitt,33,33,641,19.4,86,164,.524,0,0,.000,31,64,.484,203,6.2,70,99,169,5.1,78,15,39,13,15
Warren Carter,32,1,395,12.3,58,126,.460,1,6,.167,37,55,.673,154,4.8,35,53,88,2.8,51,15,16,6,9
Marcus Arnold,32,0,354,11.1,47,102,.461,0,0,.000,19,34,.559,113,3.5,32,44,76,2.4,65,2,21,7,9
Calvin Brock,17,0,109,6.4,8,24,.333,1,6,.167,6,15,.400,23,1.4,5,22,27,1.6,16,7,8,4,1
Chester Frazier,27,0,363,13.4,10,48,.208,5,32,.156,9,18,.500,34,1.3,8,37,45,1.7,33,50,21,7,2
Chris Hicks,11,0,19,1.7,2,5,.400,0,2,.000,6,8,.750,10,0.9,0,1,1,0.1,0,1,0,0,0
TeamTMTeam,33,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,39,46,85,2.6,0,0,16,0,0
