Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Craig Tucker,29,28,1003,34.6,170,389,.437,0,0,.000,110,132,.833,450,15.5,0,69,69,2.4,74,84,60,32,1
James Griffin,29,27,964,33.2,171,334,.512,0,0,.000,52,86,.605,394,13.6,0,204,204,7.0,93,27,38,20,56
Perry Range,29,28,1059,36.5,146,280,.521,0,0,.000,83,108,.769,375,12.9,0,128,128,4.4,61,71,46,37,7
Derek Harper,29,26,1061,36.6,105,230,.457,0,0,.000,34,45,.756,244,8.4,0,133,133,4.6,48,145,51,67,16
Bryan Leonard,29,28,625,21.6,47,114,.412,0,0,.000,23,36,.639,117,4.0,0,115,115,4.0,95,49,36,12,14
George Montgomery,28,0,462,16.5,41,83,.494,0,0,.000,20,40,.500,102,3.6,0,104,104,3.7,58,13,26,8,10
Jay Daniels,27,2,295,10.9,38,84,.452,0,0,.000,17,28,.607,93,3.4,0,41,41,1.5,29,12,19,7,4
Anthony Welch,26,1,258,9.9,30,64,.469,0,0,.000,17,22,.773,77,3.0,0,39,39,1.5,20,12,13,4,5
Quinn Richardson,18,0,51,2.8,6,13,.462,0,0,.000,10,14,.714,22,1.2,0,4,4,0.2,10,7,6,3,0
Kevin Bontemps,21,0,75,3.6,9,15,.600,0,0,.000,4,11,.364,22,1.0,0,6,6,0.3,3,14,6,4,0
Mike O'Brien,5,0,6,1.2,2,3,.667,0,0,.000,0,0,.000,4,0.8,0,2,2,0.4,2,0,1,0,0
Dee Maras,12,0,19,1.6,0,4,.000,0,0,.000,8,8,1.000,8,0.7,0,5,5,0.4,1,1,0,0,0
Dan Klier,10,0,20,2.0,3,7,.429,0,0,.000,0,3,.000,6,0.6,0,11,11,1.1,1,0,1,0,1
Scott Palmer,5,0,6,1.2,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,1,0,1,0,0
TeamTMTeam,29,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,99,99,3.4,0,0,2,0,0
