Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Demetri McCamey,34,32,1137,33.4,166,367,.452,74,164,.451,92,127,.724,498,14.6,17,98,115,3.4,67,208,100,35,6
Mike Davis,34,34,1122,33.0,176,333,.529,0,1,.000,72,102,.706,424,12.5,55,188,243,7.1,81,57,46,31,26
Mike Tisdale,34,32,893,26.3,130,257,.506,21,52,.404,60,75,.800,341,10.0,79,143,222,6.5,118,44,57,15,54
Brandon Paul,34,10,760,22.4,99,248,.399,43,119,.361,66,86,.767,307,9.0,22,84,106,3.1,63,72,61,36,12
D.J. Richardson,34,30,911,26.8,102,246,.415,55,143,.385,25,33,.758,284,8.4,11,50,61,1.8,65,63,39,23,7
Jereme Richmond,31,6,685,22.1,104,197,.528,2,12,.167,26,43,.605,236,7.6,53,103,156,5.0,51,57,54,13,13
Bill Cole,34,24,704,20.7,58,126,.460,32,87,.368,18,23,.783,166,4.9,30,56,86,2.5,64,43,12,19,16
Meyers Leonard,33,1,272,8.2,28,58,.483,0,1,.000,12,17,.706,68,2.1,10,31,41,1.2,50,5,26,5,13
Tyler Griffey,26,0,169,6.5,14,42,.333,4,11,.364,10,15,.667,42,1.6,11,19,30,1.2,21,1,12,5,3
Crandall Head,19,1,104,5.5,9,21,.429,1,8,.125,4,6,.667,23,1.2,1,3,4,0.2,8,12,13,3,0
Joseph Bertrand,16,0,50,3.1,7,13,.538,0,1,.000,3,4,.750,17,1.1,1,5,6,0.4,6,4,3,1,2
Kevin Berardini,10,0,14,1.4,1,1,1.000,0,0,.000,4,6,.667,6,0.6,1,2,3,0.3,2,1,2,1,0
Jean Selus,7,0,5,0.7,0,1,.000,0,1,.000,1,2,.500,1,0.1,0,0,0,0.0,1,1,0,1,0
TeamTMTeam,33,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,51,54,105,3.2,1,0,9,0,0
