Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Deron Williams,30,29,1017,33.9,147,360,.408,67,170,.394,59,75,.787,420,14.0,14,83,97,3.2,68,185,75,31,9
Dee Brown,33,33,1153,34.9,160,389,.411,71,205,.346,49,73,.671,440,13.3,34,89,123,3.7,66,147,65,51,3
Roger Powell,32,31,856,26.8,150,252,.595,4,12,.333,67,105,.638,371,11.6,75,85,160,5.0,78,22,40,21,14
Luther Head,29,24,863,29.8,107,239,.448,49,143,.343,56,72,.778,319,11.0,25,85,110,3.8,47,75,45,30,6
James Augustine,33,33,904,27.4,125,197,.635,0,2,.000,68,106,.642,318,9.6,93,149,242,7.3,84,21,41,38,42
Nick Smith,33,6,552,16.7,81,178,.455,8,26,.308,53,66,.803,223,6.8,38,69,107,3.2,65,38,49,8,24
Rich McBride,29,0,411,14.2,30,99,.303,24,74,.324,8,10,.800,92,3.2,16,20,36,1.2,55,31,13,14,0
Brian Randle,32,9,354,11.1,35,62,.565,3,12,.250,13,28,.464,86,2.7,24,49,73,2.3,62,16,26,15,11
Jack Ingram,33,0,293,8.9,32,75,.427,1,7,.143,8,12,.667,73,2.2,31,42,73,2.2,52,14,11,7,9
Warren Carter,17,0,63,3.7,6,15,.400,0,0,.000,8,10,.800,20,1.2,1,9,10,0.6,9,5,4,1,1
Jerrance Howard,18,0,78,4.3,5,14,.357,4,11,.364,5,6,.833,19,1.1,1,7,8,0.4,8,9,9,5,1
Aaron Spears,20,0,97,4.9,9,19,.474,0,0,.000,3,8,.375,21,1.1,2,9,11,0.6,24,2,10,3,2
Fred Nkemdi,6,0,9,1.5,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,3,3,0.5,1,0,0,0,0
TeamTMTeam,33,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,39,58,97,2.9,0,0,13,0,0
