Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Nick Anderson,36,32,1130,31.4,262,487,.538,24,66,.364,99,148,.669,647,18.0,122,163,285,7.9,69,72,59,57,32
Kenny Battle,36,34,1108,30.8,218,361,.604,9,17,.529,151,200,.755,596,16.6,91,83,174,4.8,73,64,63,89,13
Kendall Gill,24,18,682,28.4,143,264,.542,38,83,.458,46,58,.793,370,15.4,28,42,70,2.9,37,91,43,51,6
Lowell Hamilton,36,33,942,26.2,219,424,.517,0,1,.000,50,89,.562,488,13.6,88,116,204,5.7,95,24,53,21,31
Marcus Liberty,36,24,748,20.8,120,252,.476,6,12,.500,57,73,.781,303,8.4,59,82,141,3.9,65,42,57,38,10
Stephen Bardo,36,30,1001,27.8,94,212,.443,29,59,.492,76,96,.792,293,8.1,50,94,144,4.0,89,148,61,34,8
Larry Smith,36,9,695,19.3,66,128,.516,3,8,.375,40,58,.690,175,4.9,16,57,73,2.0,67,157,68,28,5
Andy Kaufmann,12,0,135,11.3,16,44,.364,5,17,.294,14,20,.700,51,4.3,8,12,20,1.7,22,8,15,5,1
P.J. Bowman,29,0,281,9.7,28,77,.364,22,57,.386,9,23,.391,87,3.0,3,25,28,1.0,29,26,11,7,1
Ervin Small,36,0,393,10.9,26,67,.388,0,0,.000,27,42,.643,79,2.2,27,49,76,2.1,68,5,21,10,0
Mike MacDonald,22,0,59,2.7,7,12,.583,0,0,.000,1,1,1.000,15,0.7,2,8,10,0.5,7,1,3,1,0
Matt Schnaderbeck,2,0,2,1.0,0,0,.000,0,0,.000,1,2,.500,1,0.5,0,0,0,0.0,0,0,0,0,0
Mark Shapland,17,0,37,2.2,1,7,.143,0,0,.000,2,4,.500,4,0.2,3,6,9,0.5,4,0,4,0,0
Eddie Manzke,17,0,24,1.4,0,3,.000,0,0,.000,1,3,.333,1,0.1,0,2,2,0.1,2,0,3,0,0
Tyler Cottingham,1,0,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Tom Sloan,1,0,2,2.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,2,2,2.0,0,0,1,0,0
Travis Smith,3,0,3,1.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
Mark Steinberg,7,0,10,1.4,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,2,2,0.3,0,1,2,0,0
TeamTMTeam,36,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,85,20,105,2.9,0,0,6,0,0
