Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Warren Carter,34,34,1047,30.8,167,344,.485,31,74,.419,101,142,.711,466,13.7,61,148,209,6.1,87,68,90,24,32
Shaun Pruitt,35,35,929,26.5,161,293,.549,0,0,.000,77,150,.513,399,11.4,105,156,261,7.5,81,7,68,10,16
Rich McBride,31,27,992,32.0,96,281,.342,82,234,.350,24,35,.686,298,9.6,7,56,63,2.0,54,71,45,20,4
Jamar Smith,21,6,472,22.5,53,159,.333,38,120,.317,26,33,.788,170,8.1,11,23,34,1.6,24,39,18,19,3
Brian Randle,24,23,616,25.7,66,133,.496,11,31,.355,34,59,.576,177,7.4,35,84,119,5.0,91,26,46,23,11
Chester Frazier,33,28,1038,31.5,72,203,.355,34,106,.321,60,101,.594,238,7.2,50,100,150,4.5,60,148,81,48,6
Trent Meacham,35,12,622,17.8,51,136,.375,35,87,.402,38,48,.792,175,5.0,6,30,36,1.0,60,60,40,19,0
Calvin Brock,35,9,671,19.2,72,162,.444,9,30,.300,21,36,.583,174,5.0,58,69,127,3.6,52,56,40,24,6
Richard Semrau,5,0,63,12.6,4,14,.286,1,5,.200,9,13,.692,18,3.6,6,5,11,2.2,8,3,6,0,0
Marcus Arnold,34,1,317,9.3,28,60,.467,0,0,.000,13,26,.500,69,2.0,17,28,45,1.3,54,3,22,8,9
Brian Carlwell,26,0,183,7.0,14,31,.452,0,0,.000,16,31,.516,44,1.7,19,17,36,1.4,24,3,10,8,10
C.J. Jackson,12,0,54,4.5,5,7,.714,0,0,.000,3,3,1.000,13,1.1,6,12,18,1.5,4,3,5,1,2
Chris Hicks,12,0,27,2.3,1,7,.143,0,4,.000,2,3,.667,4,0.3,0,1,1,0.1,4,1,3,1,0
TeamTMTeam,35,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,56,65,121,3.5,1,0,17,0,0
