Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Nick Anderson,33,25,909,27.5,223,390,.572,2,6,.333,77,120,.642,525,15.9,90,127,217,6.6,70,53,57,37,28
Kenny Battle,33,32,1017,30.8,197,341,.578,0,1,.000,122,179,.682,516,15.6,91,92,183,5.5,84,55,70,72,10
Glynn Blackwell,33,25,821,24.9,153,319,.480,10,44,.227,83,111,.748,399,12.1,57,54,111,3.4,54,78,66,40,1
Kendall Gill,33,23,946,28.7,128,272,.471,21,69,.304,67,89,.753,344,10.4,18,55,73,2.2,74,138,73,65,3
Lowell Hamilton,33,6,626,19.0,141,271,.520,1,3,.333,48,77,.623,331,10.0,39,88,127,3.8,82,9,46,14,19
Stephen Bardo,33,21,820,24.8,80,177,.452,3,7,.429,53,87,.609,216,6.5,59,79,138,4.2,79,125,70,41,7
Jens Kujawa,33,28,720,21.8,69,154,.448,0,0,.000,38,58,.655,176,5.3,68,103,171,5.2,87,34,42,17,29
Larry Smith,31,5,404,13.0,45,95,.474,2,7,.286,41,57,.719,133,4.3,9,28,37,1.2,47,80,49,19,1
Ron Trice,3,0,9,3.0,1,1,1.000,0,0,.000,4,8,.500,6,2.0,0,0,0,0.0,1,0,2,0,0
Phil Kunz,26,0,194,7.5,16,40,.400,0,0,.000,9,17,.529,41,1.6,16,25,41,1.6,45,2,5,3,13
Ervin Small,24,0,109,4.5,10,29,.345,0,2,.000,6,14,.429,26,1.1,9,27,36,1.5,17,4,11,1,2
Pat Kennedy,3,0,6,2.0,0,1,.000,0,0,.000,2,2,1.000,2,0.7,2,1,3,1.0,0,1,1,1,0
Randy Scheuneman,6,0,6,1.0,2,2,1.000,0,0,.000,0,0,.000,4,0.7,0,0,0,0.0,1,0,0,0,0
Mark Shapland,6,0,22,3.7,2,6,.333,0,0,.000,0,1,.000,4,0.7,3,6,9,1.5,1,1,1,0,0
Travis Smith,2,0,2,1.0,0,0,.000,0,0,.000,1,2,.500,1,0.5,0,1,1,0.5,0,0,0,0,0
"Brian50Brickner, Brian Brickner",5,0,13,2.6,0,1,.000,0,0,.000,1,2,.500,1,0.2,1,0,1,0.2,1,0,1,0,0
Eddie Manzke,6,0,18,3.0,0,3,.000,0,0,.000,0,3,.000,0,0.0,0,2,2,0.3,2,2,1,0,0
"Mike72Mcdonald, Mike Mcdonald",2,0,4,2.0,0,2,.000,0,0,.000,0,0,.000,0,0.0,1,0,1,0.5,0,0,0,0,0
Bob Starnes,2,0,4,2.0,0,3,.000,0,1,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0
TeamTMTeam,33,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,21,61,82,2.5,0,0,5,0,0
