Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Frank Williams,35,34,1135,32.4,174,443,.393,54,159,.340,164,203,.808,566,16.2,32,131,163,4.7,73,153,96,71,10
Brian Cook,35,34,1008,28.8,174,342,.509,27,74,.365,96,110,.873,471,13.5,64,169,233,6.7,112,44,77,29,50
Cory Bradford,35,35,1133,32.4,133,312,.426,74,189,.392,66,86,.767,406,11.6,32,78,110,3.1,75,87,68,29,5
Robert Archibald,34,31,769,22.6,114,173,.659,0,1,.000,134,205,.654,362,10.6,70,118,188,5.5,123,44,67,25,38
Damir Krupalija,20,1,332,16.6,49,84,.583,11,23,.478,37,50,.740,146,7.3,37,62,99,5.0,35,29,23,7,5
Sean Harrington,35,14,868,24.8,73,178,.410,56,141,.397,21,29,.724,223,6.4,7,53,60,1.7,64,87,39,28,0
Luther Head,35,13,581,16.6,63,124,.508,16,55,.291,14,25,.560,156,4.5,17,50,67,1.9,55,59,43,34,5
Nick Smith,33,4,334,10.1,49,91,.538,0,3,.000,29,44,.659,127,3.8,26,48,74,2.2,51,20,28,5,19
Lucas Johnson,17,2,304,17.9,15,38,.395,7,24,.292,27,37,.730,64,3.8,14,29,43,2.5,36,30,18,13,3
Roger Powell,27,0,160,5.9,27,50,.540,3,5,.600,22,36,.611,79,2.9,19,29,48,1.8,21,2,10,3,4
Brett Melton,7,0,45,6.4,5,11,.455,4,8,.500,3,5,.600,17,2.4,0,3,3,0.4,2,2,1,0,0
Blandon Ferguson,30,7,232,7.7,23,60,.383,0,3,.000,21,28,.750,67,2.2,18,28,46,1.5,25,18,26,10,1
Jerrance Howard,19,0,81,4.3,7,18,.389,2,7,.286,4,4,1.000,20,1.1,6,7,13,0.7,16,14,11,4,0
Walter Young,2,0,5,2.5,1,3,.333,0,0,.000,0,0,.000,2,1.0,0,1,1,0.5,1,1,0,0,0
Clayton Thomas,8,0,13,1.6,1,5,.200,0,0,.000,0,0,.000,2,0.3,1,3,4,0.5,2,0,2,0,1
TeamTMTeam,35,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,55,59,114,3.3,1,0,3,0,0
