Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Cory Bradford,32,32,1128,35.3,174,450,.387,85,205,.415,61,90,.678,494,15.4,16,68,84,2.6,62,62,78,25,1
Cleotis Brown,32,29,840,26.3,107,280,.382,20,64,.313,61,99,.616,295,9.2,57,95,152,4.8,56,44,76,52,13
Sergio McClain,31,28,920,29.7,98,261,.375,6,29,.207,65,107,.607,267,8.6,39,67,106,3.4,77,81,111,71,3
Fess Hawkins,32,15,604,18.9,77,164,.470,0,0,.000,47,76,.618,201,6.3,71,91,162,5.1,78,19,41,24,36
Victor Chukwudebe,32,24,672,21.0,78,175,.446,0,1,.000,22,35,.629,178,5.6,63,95,158,4.9,90,16,28,22,20
Damir Krupalija,24,12,453,18.9,35,73,.479,6,18,.333,34,53,.642,110,4.6,51,81,132,5.5,54,25,40,15,13
Lucas Johnson,31,7,615,19.8,37,113,.327,15,50,.300,46,60,.767,135,4.4,39,57,96,3.1,67,45,58,12,4
Rich Beyers,11,1,154,14.0,17,47,.362,4,18,.222,5,5,1.000,43,3.9,9,11,20,1.8,15,10,16,7,5
Arias Davis,25,0,265,10.6,29,94,.309,18,64,.281,6,8,.750,82,3.3,6,14,20,0.8,12,10,15,9,2
Robert Archibald,32,8,456,14.3,32,82,.390,0,0,.000,31,45,.689,95,3.0,40,60,100,3.1,85,26,59,16,10
Nate Mast,31,4,307,9.9,20,44,.455,11,27,.407,14,21,.667,65,2.1,2,15,17,0.5,29,36,30,14,0
Carvell Ammons,2,0,7,3.5,1,1,1.000,0,0,.000,0,0,.000,2,1.0,0,2,2,1.0,0,1,1,0,0
"Brian42Campbell, Brian Campbell",7,0,29,4.1,0,7,.000,0,1,.000,0,0,.000,0,0.0,3,2,5,0.7,4,1,1,2,0
TeamTMTeam,32,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,63,65,128,4.0,0,0,12,0,0
